Rank,Score,Listed Date,Product Title,Brand,ASIN,BSR,Competition Level,Competition Count,Opportunity Rating,Competition URL,Analysis Date
1,7,2018-12-07,"Womens My Princess Name is Drinking Beauty Wine T Shirt T-Shirt","Drinking Beauty Princess Shirts & Gifts",B07L6HVZBS,515723,LOW,47,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Womens%20My%20Princess%20Name%20is%20Drinking%20Beauty%20Wine%20T%20Shirt%20T-Shirt,6/2/2026
2,7,2026-04-17,"Girls Gone Feral Raccoon Bachelorette Squad 2026 Matching T-Shirt","Feral Bachelorette Retro Raccoon Bride to Be",B0GXLBLQ52,488821,LOW,80,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Girls%20Gone%20Feral%20Raccoon%20Bachelorette%20Squad%202026%20Matching%20T-Shirt,6/2/2026
3,7,2025-07-07,"Western Black Cowgirl Hat Boots I Got My Boots On The Ground T-Shirt","Fabulous Black Girls Women Howdy Cowgirl Gifts",B0FGX85PDW,572922,LOW,98,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Western%20Black%20Cowgirl%20Hat%20Boots%20I%20Got%20My%20Boots%20On%20The%20Ground%20T-Shirt,6/2/2026
4,7,2026-01-13,"Inappropriate My Breath Smells Like Foreskin Retro Funny T-Shirt","Inappropriate Funny Embarrassing Adult Humor Tees",B0GGJR2LBF,155989,LOW,219,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Inappropriate%20My%20Breath%20Smells%20Like%20Foreskin%20Retro%20Funny%20T-Shirt,6/2/2026
5,7,2024-12-16,"Inappropriate Funny Daddy's Lil Squirter Embarrassing Women T-Shirt","Inappropriate Funny Squirter Meme Blue Whale Shirt",B0DQKQ9NZJ,58387,LOW,333,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Inappropriate%20Funny%20Daddy's%20Lil%20Squirter%20Embarrassing%20Women%20T-Shirt,6/2/2026
6,6,2026-01-16,"Bachelorette Madness Unleashed Tonight Design T-Shirt","Mademark",B0GH9R9D94,882353,LOW,8,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Bachelorette%20Madness%20Unleashed%20Tonight%20Design%20T-Shirt,6/2/2026
7,6,2025-05-16,"Vintage Never Argue with Somebody John Brown Would Have Shot T-Shirt","Never Argue With Somebody John Brown Women Men",B0F8T4K26K,625106,LOW,21,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Vintage%20Never%20Argue%20with%20Somebody%20John%20Brown%20Would%20Have%20Shot%20T-Shirt,6/2/2026
8,6,2018-08-29,"Bachelorette Party Scavenger Hunt Checklist Game T-Shirt T-Shirt","Bachelorette Party T-Shirt - BroadGoods",B07GXM9DH4,940899,LOW,27,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Bachelorette%20Party%20Scavenger%20Hunt%20Checklist%20Game%20T-Shirt%20T-Shirt,6/2/2026
9,6,2025-09-14,"Fonda Lynn Dees Nuts Stupid Dirty Humor for Men Adult Vulgar T-Shirt","Rude Crude and Inappropriate Merch",B0FR2ZD8PK,656070,LOW,56,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Fonda%20Lynn%20Dees%20Nuts%20Stupid%20Dirty%20Humor%20for%20Men%20Adult%20Vulgar%20T-Shirt,6/2/2026
10,6,2024-05-15,"Universal Studios Hollywood Marquee T-Shirt","UNIVERSAL DESTINATIONS & EXPERIENCES",B0D47ZYXWX,724030,LOW,92,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Universal%20Studios%20Hollywood%20Marquee%20T-Shirt,6/2/2026
