Rank,Score,Listed Date,Product Title,Brand,ASIN,BSR,Competition Level,Competition Count,Opportunity Rating,Competition URL,Analysis Date
1,9,2024-05-27,"Dog Fathers Day Fur Dad The Man The Myth The Snack Dealer T-Shirt","Fathers Fur Dad The Man The Myth The Snack Dealer",B0D5B45KTN,84667,UNKNOWN,0,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Dog%20Fathers%20Day%20Fur%20Dad%20The%20Man%20The%20Myth%20The%20Snack%20Dealer%20T-Shirt,5/31/2026
2,8,2025-05-28,"Funny Bad Day to Be a Hotdog 4th of July Independence Day T-Shirt","Patriot Party BBQ Grilling Tees",B0FB3QFDBC,149749,UNKNOWN,0,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Bad%20Day%20to%20Be%20a%20Hotdog%204th%20of%20July%20Independence%20Day%20T-Shirt,5/31/2026
3,8,2026-02-13,"250 Anniversary USA Shirt Dog Dachshund 4th of July T-Shirt","250th Anniversary USA Shirt Freedom Fourth of July",B0GN9Z2F48,140935,UNKNOWN,0,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=250%20Anniversary%20USA%20Shirt%20Dog%20Dachshund%204th%20of%20July%20T-Shirt,5/31/2026
4,8,2025-12-11,"I Support Women's Sports Unwearable Aduld Humor Bootleg T-Shirt","Unwearable Meme",B0G6DR282G,156841,UNKNOWN,0,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=I%20Support%20Women's%20Sports%20Unwearable%20Aduld%20Humor%20Bootleg%20T-Shirt,5/31/2026
5,8,2025-09-14,"Funny Embarrassing Shirts Crude Cringey Inappropriate Humor T-Shirt","Wiener Hot Dog Punny Exchange Weird Gag Men Tees",B0FR3BQYTN,181111,UNKNOWN,0,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Embarrassing%20Shirts%20Crude%20Cringey%20Inappropriate%20Humor%20T-Shirt,5/31/2026
6,8,2024-11-19,"Proud to Have A Small Wiener Funny Offensive Dachshund T-Shirt","MildlyPerturbed",B0DNK7GX4W,174505,UNKNOWN,0,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Proud%20to%20Have%20A%20Small%20Wiener%20Funny%20Offensive%20Dachshund%20T-Shirt,5/31/2026
7,8,2025-01-14,"Only A Problem If You're Losing Funny Gambling Bootleg T-Shirt","MildlyPerturbed",B0DSZQ1MMN,231034,UNKNOWN,0,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Only%20A%20Problem%20If%20You're%20Losing%20Funny%20Gambling%20Bootleg%20T-Shirt,5/31/2026
8,8,2025-01-09,"Bird Print Art Deco 60s Style Minimal Hippy Retro Cool T-Shirt","Jaffa Orange",B0DSLR6NDK,222883,UNKNOWN,0,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Bird%20Print%20Art%20Deco%2060s%20Style%20Minimal%20Hippy%20Retro%20Cool%20T-Shirt,5/31/2026
9,8,2025-02-02,"Can't Stop Having Gay Thoughts Funny Cat Meme Bootleg T-Shirt","MildlyPerturbed",B0DVR86R8G,254256,UNKNOWN,0,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Can't%20Stop%20Having%20Gay%20Thoughts%20Funny%20Cat%20Meme%20Bootleg%20T-Shirt,5/31/2026
10,8,2025-08-18,"T-Shirt","Go Away Kitten, Funny Bootleg Daddy Sigma Wolf",B0FMSRQTBP,268042,UNKNOWN,0,Excellent,,5/31/2026
11,8,2025-01-29,"My Tummy Hurts Funny Cat Meme Bootleg Graphic T-Shirt","MildlyPerturbed",B0DVBQS7GX,245657,UNKNOWN,0,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=My%20Tummy%20Hurts%20Funny%20Cat%20Meme%20Bootleg%20Graphic%20T-Shirt,5/31/2026
12,8,2024-07-06,"The Dachshund Funny Wiener Dog Gifts for Men Fathers Day T-Shirt","Dachshund Father's Day Gifts For Dog Lovers Dad",B0D8XXN8JW,226733,UNKNOWN,0,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=The%20Dachshund%20Funny%20Wiener%20Dog%20Gifts%20for%20Men%20Fathers%20Day%20T-Shirt,5/31/2026
13,8,2026-01-05,"Dachshund Dad Club (on Back) T-Shirt","Funny Dachshund Dad Club Tee Shirt",B0GF3BQQD5,267057,UNKNOWN,0,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Dachshund%20Dad%20Club%20(on%20Back)%20T-Shirt,5/31/2026
14,8,2025-11-05,"Glep Vintage Heavy Metal Flowers Cartoon T-Shirt","Smiling Friends",B0FZXGL3N8,255269,UNKNOWN,0,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Glep%20Vintage%20Heavy%20Metal%20Flowers%20Cartoon%20T-Shirt,5/31/2026
15,8,2026-02-10,"Funny Dachshund Drinking Iced Coffee Cute Dog Meme Humor T-Shirt","Dachshund Drinking Iced Coffee Dog Meme Humor",B0GMQVW4P4,266276,UNKNOWN,0,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Dachshund%20Drinking%20Iced%20Coffee%20Cute%20Dog%20Meme%20Humor%20T-Shirt,5/31/2026
16,8,2019-11-24,"Stay Gold Ponyboy Vintage T-Shirt","Stay Gold Ponyboy Classic 80s",B081YGK412,292949,UNKNOWN,0,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Stay%20Gold%20Ponyboy%20Vintage%20T-Shirt,5/31/2026
17,8,2025-07-22,"0 Days Since I Last Pooped Myself Meme T-Shirt","Funny Saying Bathroom Pun",B0FJF39117,280765,UNKNOWN,0,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=0%20Days%20Since%20I%20Last%20Pooped%20Myself%20Meme%20T-Shirt,5/31/2026
18,8,2025-08-11,"Retro Mid-Century Modern Dogs 50s 60s Style T-Shirt","Funny Dog Graphic",B0FLZHWKPT,298006,UNKNOWN,0,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Retro%20Mid-Century%20Modern%20Dogs%2050s%2060s%20Style%20T-Shirt,5/31/2026
19,8,2024-08-02,"Lemonade Crew Cute Summer Simple Lemon Stand T-Shirt","Cute Lemonade Crew",B0DBY1G7XW,275480,UNKNOWN,0,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Lemonade%20Crew%20Cute%20Summer%20Simple%20Lemon%20Stand%20T-Shirt,5/31/2026
20,7,2025-02-02,"God Gives His Most Powerful Autism Funny Cat Meme Bootleg T-Shirt","MildlyPerturbed",B0DVQS77H3,426375,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=God%20Gives%20His%20Most%20Powerful%20Autism%20Funny%20Cat%20Meme%20Bootleg%20T-Shirt,5/31/2026
21,7,2025-09-16,"Throat Goat Funny Offensive Adult Humor Bootleg Y2K Graphic T-Shirt","Handeza Fashion",B0FR9HDYFM,306853,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Throat%20Goat%20Funny%20Offensive%20Adult%20Humor%20Bootleg%20Y2K%20Graphic%20T-Shirt,5/31/2026
22,7,2025-11-06,"Pew Pew Madafakas Retro Cowboy Rodeo T-Shirt","Funny trendy gift tee",B0G1659MSR,392286,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Pew%20Pew%20Madafakas%20Retro%20Cowboy%20Rodeo%20T-Shirt,5/31/2026
23,7,2026-01-15,"Off to Cause A Kerfuffle Frog Raccoon Goose Riding Dachshund T-Shirt","Frog Raccoon Goose Riding Dachshund Funny Saying",B0GGXTFHLH,381845,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Off%20to%20Cause%20A%20Kerfuffle%20Frog%20Raccoon%20Goose%20Riding%20Dachshund%20T-Shirt,5/31/2026
24,7,2021-07-25,"I've got Friends in Low Places Funny Dachshund Apparel T-Shirt","I've got friends in low places dachshund dog desig",B09B633RWG,423602,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=I've%20got%20Friends%20in%20Low%20Places%20Funny%20Dachshund%20Apparel%20T-Shirt,5/31/2026
