Rank,Score,Listed Date,Product Title,Brand,ASIN,BSR,Competition Level,Competition Count,Opportunity Rating,Competition URL,Analysis Date
1,10,2026-03-07,"Amazing Rocky The Alien Neon Portrait T-Shirt","Project Hail Mary",B0GRL6PQKD,23877,LOW,51,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Amazing%20Rocky%20The%20Alien%20Neon%20Portrait%20T-Shirt,6/2/2026
2,9,2026-03-06,"Fist My Bump Rocky The Alien Poster T-Shirt","Project Hail Mary",B0GRK633Z4,33234,LOW,28,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Fist%20My%20Bump%20Rocky%20The%20Alien%20Poster%20T-Shirt,6/2/2026
3,8,2026-03-07,"Amazing Rocky The Alien Neon Portrait Tank Top","Project Hail Mary",B0GRKW259Z,280249,LOW,37,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Amazing%20Rocky%20The%20Alien%20Neon%20Portrait%20Tank%20Top,6/2/2026
4,8,2026-05-26,"Funny Spurs Fox Alien Castle Harper T-Shirt","N/A",B0H2YSJSFQ,121481,LOW,39,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Spurs%20Fox%20Alien%20Castle%20Harper%20T-Shirt,6/2/2026
5,8,2026-05-27,"Funny Spurs Fox Alien Castle Harper T-Shirt","Spurs Shirt Vintage Retro Apparel",B0H33J3ZFP,159211,LOW,39,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Spurs%20Fox%20Alien%20Castle%20Harper%20T-Shirt,6/2/2026
6,8,2026-05-25,"Funny Spurs Fox Alien Castle Harper T-Shirt","N/A",B0H2V5446W,224923,LOW,39,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Spurs%20Fox%20Alien%20Castle%20Harper%20T-Shirt,6/2/2026
7,8,2024-07-23,"Victory Pose Video Game T-Shirt","Astro Bot Rescue Mission",B0D9ZDCKX1,151347,LOW,43,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Victory%20Pose%20Video%20Game%20T-Shirt,6/2/2026
8,8,2026-04-09,"Astro Bot and Friends Character Burst Colorful Video Game T-Shirt","Astro Bot Rescue Mission",B0GWN3VL97,251232,LOW,59,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Astro%20Bot%20and%20Friends%20Character%20Burst%20Colorful%20Video%20Game%20T-Shirt,6/2/2026
9,8,2026-05-28,"Funny Spur-s Fox Alien Castle Harper T-Shirt","Spur-s Shirt Vintage Retro Apparel",B0H36GF5D2,97954,LOW,202,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Spur-s%20Fox%20Alien%20Castle%20Harper%20T-Shirt,6/2/2026
10,8,2024-06-06,"Superman Superhero T-Shirt - Unisex-Adults, Kids - Black - Short Sleeve - V-Neck - Classic Fit - 100% Polyester - Small","Superman",B0D6C2D7NG,271297,UNKNOWN,0,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Superman%20Superhero%20T-Shirt%20-%20Unisex-Adults%2C%20Kids%20-%20Black%20-%20Short%20Sleeve%20-%20V-Neck%20-%20Classic%20Fit%20-%20100%25%20Polyester%20-%20Small,6/2/2026
11,7,2026-03-07,"Amazing Rocky The Alien Neon Portrait Premium Tri-Blend T-Shirt","Project Hail Mary",B0GRL42SCH,459165,LOW,12,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Amazing%20Rocky%20The%20Alien%20Neon%20Portrait%20Premium%20Tri-Blend%20T-Shirt,6/2/2026
12,7,2026-05-23,"Fox Alien Castle Harp Retro T-Shirt","N/A",B0H2QZCM36,311106,LOW,14,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Fox%20Alien%20Castle%20Harp%20Retro%20T-Shirt,6/2/2026
13,7,2026-03-30,"Hep Alien Church Tour Retro Band TV Show T-Shirt","Gilmore Girls",B0GVGL55ZF,495445,LOW,15,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Hep%20Alien%20Church%20Tour%20Retro%20Band%20TV%20Show%20T-Shirt,6/2/2026
14,7,2024-10-07,"The Truth is Out There Iconic Retro Comic Cover Logo T-Shirt","X-Files",B0DJN218CH,425800,LOW,17,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=The%20Truth%20is%20Out%20There%20Iconic%20Retro%20Comic%20Cover%20Logo%20T-Shirt,6/2/2026
15,7,2024-02-26,"The Original Visit Patience Colorado (Resident Alien) T-Shirt","Rotem Gear",B0CWJYHLH5,592892,LOW,21,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=The%20Original%20Visit%20Patience%20Colorado%20(Resident%20Alien)%20T-Shirt,6/2/2026
16,7,2025-08-04,"FX Series Weyland-Yutani Corp Logo Official T-Shirt","Alien: Earth",B0FL4SVM2M,367703,LOW,22,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=FX%20Series%20Weyland-Yutani%20Corp%20Logo%20Official%20T-Shirt,6/2/2026
17,7,2026-03-07,"Women's Project Hail Mary Amazing Rocky The Alien Neon Portrait V-Neck T-Shirt","Project Hail Mary",B0GRL7J8YS,433720,LOW,24,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Women's%20Project%20Hail%20Mary%20Amazing%20Rocky%20The%20Alien%20Neon%20Portrait%20V-Neck%20T-Shirt,6/2/2026
18,7,2023-09-11,"I Want to Believe Green Glow Believe 90's TV Show T-Shirt","X-Files",B0CHSZDR43,394676,LOW,30,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=I%20Want%20to%20Believe%20Green%20Glow%20Believe%2090's%20TV%20Show%20T-Shirt,6/2/2026
19,7,2025-06-16,"Cookie Cat Frozen Treat Cartoon T-Shirt","STEVEN UNIVERSE",B0FDBNJ3PL,497286,LOW,37,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Cookie%20Cat%20Frozen%20Treat%20Cartoon%20T-Shirt,6/2/2026
20,7,2026-03-07,"Rocky The Alien Distressed Portrait T-Shirt","Project Hail Mary",B0GRKQKDQ5,316180,LOW,39,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Rocky%20The%20Alien%20Distressed%20Portrait%20T-Shirt,6/2/2026
21,7,2026-04-09,"Astro Bot Pose Grid Collage with Logo Video Game T-Shirt","Astro Bot Rescue Mission",B0GWN9WT74,306634,LOW,58,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Astro%20Bot%20Pose%20Grid%20Collage%20with%20Logo%20Video%20Game%20T-Shirt,6/2/2026
22,7,2022-02-23,"Mens Liquid Blue Alien Visitors T-shirtT-Shirt","Liquid Blue",B09T91B3QG,502002,LOW,64,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Mens%20Liquid%20Blue%20Alien%20Visitors%20T-shirtT-Shirt,6/2/2026
23,7,2019-06-05,"I Want to Leave UFO Roswell Alien Flying Saucer Conspiracy T-Shirt","Vintage UFO Roswell Alien Flying Saucer",B07SQ1ZF16,515761,LOW,71,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=I%20Want%20to%20Leave%20UFO%20Roswell%20Alien%20Flying%20Saucer%20Conspiracy%20T-Shirt,6/2/2026
24,7,2025-06-24,"Alien Grey Torn Cloth Funny Extraterrestrial 3D Graphic T-Shirt","Alien UAP UFO Lover 3D Graphics",B0FFBMNV9J,445132,LOW,88,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Alien%20Grey%20Torn%20Cloth%20Funny%20Extraterrestrial%203D%20Graphic%20T-Shirt,6/2/2026
25,7,2026-04-29,"Campfire Knitting Friends Retro Bigfoot Alien Bear Knitting T-Shirt","Campfire Knitting Bigfoot Alien Bear Art",B0GYYKR8YX,417066,LOW,100,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Campfire%20Knitting%20Friends%20Retro%20Bigfoot%20Alien%20Bear%20Knitting%20T-Shirt,6/2/2026
26,7,2026-05-28,"Funny Spur-s Fox Alien Castle Harper T-Shirt","Spur-s Shirt Vintage Retro Apparel",B0H36KS3YJ,188717,LOW,202,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Spur-s%20Fox%20Alien%20Castle%20Harper%20T-Shirt,6/2/2026
27,7,2025-06-16,"Vintage Japanese Cat Alien Cat Dad UFO Abduction Graphic Tee T-Shirt","Japanese Gifts Co.",B0FDB2BDMG,177611,LOW,261,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Vintage%20Japanese%20Cat%20Alien%20Cat%20Dad%20UFO%20Abduction%20Graphic%20Tee%20T-Shirt,6/2/2026
28,7,2025-11-23,"Raccoon Bigfoot T-Rex UFO Selfie T-Shirt","Bigfoot Ufo T Rex Raccoon Dinosaur Alien",B0G3M726RZ,258766,LOW,274,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Raccoon%20Bigfoot%20T-Rex%20UFO%20Selfie%20T-Shirt,6/2/2026
29,7,2025-09-09,"Vintage Japanese Cat Book Lovers UFO Alien Abduction Cat Dad T-Shirt","Japanese Gifts Co.",B0FQCMZSPN,74397,LOW,313,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Vintage%20Japanese%20Cat%20Book%20Lovers%20UFO%20Alien%20Abduction%20Cat%20Dad%20T-Shirt,6/2/2026
30,6,2025-01-08,"Take Me to Your Rita Cocktail Lime Bartender Chilis Food T-Shirt","Take Me To Your Rita Aliens Spaceship Funny",B0DSHSVDFG,756082,LOW,3,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Take%20Me%20to%20Your%20Rita%20Cocktail%20Lime%20Bartender%20Chilis%20Food%20T-Shirt,6/2/2026
31,6,2026-03-31,"Palm Springs Alien Poolside Martini Vintage BW Art T-Shirt","Space Alien Superstore",B0GVLCLKN1,812716,LOW,19,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Palm%20Springs%20Alien%20Poolside%20Martini%20Vintage%20BW%20Art%20T-Shirt,6/2/2026
32,6,2024-09-26,"Three Alien Transformation Blocks Cartoon T-Shirt","Ben 10",B0DJ1VD5VY,782803,LOW,22,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Three%20Alien%20Transformation%20Blocks%20Cartoon%20T-Shirt,6/2/2026
33,6,2025-04-06,"Cosmic Tripper Alien 420 Stoner Psychedelic Weed Space Vibe T-Shirt","Funny Stoner Designs",B0F3W7KR7D,622209,LOW,27,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Cosmic%20Tripper%20Alien%20420%20Stoner%20Psychedelic%20Weed%20Space%20Vibe%20T-Shirt,6/2/2026
