Rank,Score,Listed Date,Product Title,Brand,ASIN,BSR,Competition Level,Competition Count,Opportunity Rating,Competition URL,Analysis Date
1,6,2023-04-17,"Chicken Bandana Girl - Poultry Owner Rancher Farmer Backyard T-Shirt","Funny Chicken Shirts",B0C2RTT7JB,650437,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Chicken%20Bandana%20Girl%20-%20Poultry%20Owner%20Rancher%20Farmer%20Backyard%20T-Shirt,5/31/2026
2,6,2019-09-12,"Backyard Chicken Farmer Distressed Gift for Chicken Moms Dad T-Shirt","Chicken Farmer Backyard Chicken Coop Gift Tees",B07XVC8CF9,755938,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Backyard%20Chicken%20Farmer%20Distressed%20Gift%20for%20Chicken%20Moms%20Dad%20T-Shirt,5/31/2026
3,6,2017-09-20,"Funny Chicken Design Chicken Farmers I Love My Ladies T-Shirt","Funny Backyard Chicken Gifts",B07PKKDJ3H,667922,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Chicken%20Design%20Chicken%20Farmers%20I%20Love%20My%20Ladies%20T-Shirt,5/31/2026
4,6,2025-07-15,"Chickens Make Me Happy Humans Make My Head Hurt Farmer Gift T-Shirt","Crazy Chicken Lady Gifts Backyard Poultry Lover",B0FHJZ8VXT,804856,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Chickens%20Make%20Me%20Happy%20Humans%20Make%20My%20Head%20Hurt%20Farmer%20Gift%20T-Shirt,5/31/2026
5,5,2025-07-21,"Local Egg Dealer Chicken Coop Men Women Farmer T-Shirt","Backyard Chicken Keepers Country Farm Life",B0FJ7S8FSV,1472777,UNKNOWN,0,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Local%20Egg%20Dealer%20Chicken%20Coop%20Men%20Women%20Farmer%20T-Shirt,5/31/2026
6,5,2025-06-09,"Chickens of The World Funny Cartoon Chicken Breeds Farm Art T-Shirt","Wowsome!",B0FCFB3XBY,1054090,UNKNOWN,0,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Chickens%20of%20The%20World%20Funny%20Cartoon%20Chicken%20Breeds%20Farm%20Art%20T-Shirt,5/31/2026
7,5,2019-02-01,"Backyard Chicken Farmer Chicken Lover Cute T-Shirt Small","Chicken Farmer Funny Designs",B07NB64TMQ,1396724,UNKNOWN,0,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Backyard%20Chicken%20Farmer%20Chicken%20Lover%20Cute%20T-Shirt%20Small,5/31/2026
8,5,2021-02-19,"Backyard Chicken Farmer - Farming Chicken Owner Pet Farmer T-Shirt","Chicken Farmer Gift Apparel",B08X1F3518,1423281,UNKNOWN,0,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Backyard%20Chicken%20Farmer%20-%20Farming%20Chicken%20Owner%20Pet%20Farmer%20T-Shirt,5/31/2026
9,5,2021-08-18,"Crazy Chicken Momma Backyard Chicken Farmer Chick Poultry T-Shirt","Chicken Apparel Men Women Boys Girls Kids By RJ",B09CYTK93N,1932822,UNKNOWN,0,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Crazy%20Chicken%20Momma%20Backyard%20Chicken%20Farmer%20Chick%20Poultry%20T-Shirt,5/31/2026
10,4,2026-02-09,"That's What I Do Garden and Talk to My Chickens Funny T-Shirt","Backyard Homesteading Gardening Chicken Lover",B0GMKFVZT9,2063142,UNKNOWN,0,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=That's%20What%20I%20Do%20Garden%20and%20Talk%20to%20My%20Chickens%20Funny%20T-Shirt,5/31/2026
11,4,2023-08-18,"Funny Silkie Chicken I Raised Tiny Dinosaurs Silky Chicken T-Shirt","Fluffy Feathers Backyard Chicken",B0CG2HH1Y4,2226792,UNKNOWN,0,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Silkie%20Chicken%20I%20Raised%20Tiny%20Dinosaurs%20Silky%20Chicken%20T-Shirt,5/31/2026
12,4,2024-03-09,"Chicken Farmer Rooster Retirement Backyard Chicken Farmer T-Shirt","Backyard Chicken Farmer Gifts & Chicken Apparel",B0CXMCCP5C,2162642,UNKNOWN,0,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Chicken%20Farmer%20Rooster%20Retirement%20Backyard%20Chicken%20Farmer%20T-Shirt,5/31/2026
13,4,2025-10-20,"Chicken Vintage Collage Chickens Lover Farmer T-Shirt","Chicken Asymmetrical Collage Design",B0FX34XKR4,2079551,UNKNOWN,0,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Chicken%20Vintage%20Collage%20Chickens%20Lover%20Farmer%20T-Shirt,5/31/2026
