Rank,Score,Listed Date,Product Title,Brand,ASIN,BSR,Competition Level,Competition Count,Opportunity Rating,Competition URL,Analysis Date
1,8,2024-03-21,"Animal Groups Unveiled - Educational Wildlife Design T-Shirt","Wowsome!",B0CYQHHTCM,196930,LOW,39,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Animal%20Groups%20Unveiled%20-%20Educational%20Wildlife%20Design%20T-Shirt,5/31/2026
2,7,2024-08-13,"Atticus Finch Attorney at Law Macomb Alabama T-Shirt","Utopia Sport Bookworm Shop",B0DD1Y2LJ9,449858,LOW,17,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Atticus%20Finch%20Attorney%20at%20Law%20Macomb%20Alabama%20T-Shirt,5/31/2026
3,6,2025-12-27,"Bird Telephoto Buddy Camera & Perched Songbird Sketch T-Shirt","Lens & Feathers Studio",B0GCTTBPKK,793026,LOW,23,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Bird%20Telephoto%20Buddy%20Camera%20%26%20Perched%20Songbird%20Sketch%20T-Shirt,5/31/2026
4,6,2024-09-28,"History Buff I'd Find You More Interesting If You Were Dead T-Shirt","History Buff I'd Find You More Interesting Quote",B0DJ4GJDPG,859407,LOW,38,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=History%20Buff%20I'd%20Find%20You%20More%20Interesting%20If%20You%20Were%20Dead%20T-Shirt,5/31/2026
5,6,2025-07-09,"Vintage Frigate bird Drawing Art Design T-Shirt","Animals Sketch Drawing Art Designs For Men & Women",B0FH5D1G92,852447,LOW,45,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Vintage%20Frigate%20bird%20Drawing%20Art%20Design%20T-Shirt,5/31/2026
6,6,2026-02-04,"Not All Who Wander are Lost Some Look for Birds Birdkeeping T-Shirt","Funny Birdkeeping Study Birds Gifts Men Women Kids",B0GLDMQR4Z,856511,LOW,62,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Not%20All%20Who%20Wander%20are%20Lost%20Some%20Look%20for%20Birds%20Birdkeeping%20T-Shirt,5/31/2026
7,6,2025-12-05,"Woodpecker Species Chart – Types of Woodpeckers T-Shirt","Educational Science Ideas",B0G5BCKQXK,767393,LOW,70,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Woodpecker%20Species%20Chart%20%E2%80%93%20Types%20of%20Woodpeckers%20T-Shirt,5/31/2026
8,6,2019-07-02,"Funny Flat Earth Astronaut - Ice Wall - Firmament T-Shirt","Funny Flat Earther Gifts by SUCKERHUG",B07TT95K6B,973547,LOW,75,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Flat%20Earth%20Astronaut%20-%20Ice%20Wall%20-%20Firmament%20T-Shirt,5/31/2026
9,6,2025-12-27,"Bird, Pocket Parakeet Peek (Budgie in Pocket T-Shirt","Pocket Budgie Club",B0GCTY8D5W,734187,LOW,82,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Bird%2C%20Pocket%20Parakeet%20Peek%20(Budgie%20in%20Pocket%20T-Shirt,5/31/2026
10,6,2024-01-24,"Puffin Animals of The World Educational Iceland Animal Bird T-Shirt","Wowsome!",B0CT4PYJND,796162,LOW,96,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Puffin%20Animals%20of%20The%20World%20Educational%20Iceland%20Animal%20Bird%20T-Shirt,5/31/2026
11,6,2019-02-11,"California Quail CA Quail Birder Vintage California Quail T-Shirt","Retro California Quail",B07NLSMQT7,869755,LOW,96,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=California%20Quail%20CA%20Quail%20Birder%20Vintage%20California%20Quail%20T-Shirt,5/31/2026
