Rank,Score,Listed Date,Product Title,Brand,ASIN,BSR,Competition Level,Competition Count,Opportunity Rating,Competition URL,Analysis Date
1,8,2026-05-09,"Bohemian Catsody Mama I Just Killed A Mouse Cat Parody T-Shirt","Bohemian Catsody Mama I Just Killed A Mouse Co.",B0H14VXW8X,287144,LOW,16,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Bohemian%20Catsody%20Mama%20I%20Just%20Killed%20A%20Mouse%20Cat%20Parody%20T-Shirt,6/2/2026
2,8,2024-08-09,"Retro Cat Inside Every Older Person is A Younger Person Meme T-Shirt","Funny Cat Inside Every Older Person Tee",B0DCN9GXHX,270092,LOW,31,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Retro%20Cat%20Inside%20Every%20Older%20Person%20is%20A%20Younger%20Person%20Meme%20T-Shirt,6/2/2026
3,8,2024-11-28,"Cats Side Quest Distracted Tabletop Funny Men Women Kids Dad T-Shirt","Rpg Gamer Cats Side Quest Distracted Nerdy Gaming",B0DP5ZZCJG,71464,LOW,290,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Cats%20Side%20Quest%20Distracted%20Tabletop%20Funny%20Men%20Women%20Kids%20Dad%20T-Shirt,6/2/2026
4,7,2026-03-20,"Black Cat Society Misunderstood Cat Awareness Design T-Shirt","Black Cat Awareness Rescue Lover Vintage Art Co",B0GT9NLFH6,329409,LOW,61,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Black%20Cat%20Society%20Misunderstood%20Cat%20Awareness%20Design%20T-Shirt,6/2/2026
5,7,2024-08-08,"CorgiZilla Parody Japanese Art Corgi Dog Mom Dad Unisex Adult T-Shirt","Feline Fashions Cat Apparel.USA",B0DCKFW7M5,375834,LOW,72,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=CorgiZilla%20Parody%20Japanese%20Art%20Corgi%20Dog%20Mom%20Dad%20Unisex%20Adult%20T-Shirt,6/2/2026
6,7,2023-06-06,"Happy Fathers Day Human Servant Your Tiny Furry Overlord Cat T-Shirt","Fathers Day Human Servant Your Tiny Furry Cat",B0C77PHHJJ,446148,LOW,84,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Happy%20Fathers%20Day%20Human%20Servant%20Your%20Tiny%20Furry%20Overlord%20Cat%20T-Shirt,6/2/2026
7,7,2024-08-06,"Hiss Cats Rock Kittens Rocking for Cat Lover Cat Mom Cat Dad T-Shirt","Feline Fashions Cat Apparel.USA",B0DCCC444F,219850,LOW,104,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Hiss%20Cats%20Rock%20Kittens%20Rocking%20for%20Cat%20Lover%20Cat%20Mom%20Cat%20Dad%20T-Shirt,6/2/2026
8,7,2025-12-06,"Cat Dad Club Life is Better with Cats Cat Dad ON Back T-Shirt","Cat Dad Club Apparel",B0G5G43YP8,201045,LOW,139,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Cat%20Dad%20Club%20Life%20is%20Better%20with%20Cats%20Cat%20Dad%20ON%20Back%20T-Shirt,6/2/2026
9,7,2025-10-06,"Vampurr Bites Again! Funny Cat Halloween Vintage Graphic T-Shirt","Vampurr Cat Lover Merch Co.",B0FTYGYCVK,174807,LOW,150,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Vampurr%20Bites%20Again!%20Funny%20Cat%20Halloween%20Vintage%20Graphic%20T-Shirt,6/2/2026
10,7,2021-11-23,"Black Cat Every Snack You Make Retro Cat T-Shirt","Retro Vintage Design For Cat Mom Cat Dad",B09MFL1KFX,271931,LOW,191,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Black%20Cat%20Every%20Snack%20You%20Make%20Retro%20Cat%20T-Shirt,6/2/2026
11,7,2025-06-16,"Vintage Japanese Cat Alien Cat Dad UFO Abduction Graphic Tee T-Shirt","Japanese Gifts Co.",B0FDB2BDMG,155432,LOW,270,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Vintage%20Japanese%20Cat%20Alien%20Cat%20Dad%20UFO%20Abduction%20Graphic%20Tee%20T-Shirt,6/2/2026
12,7,2026-01-08,"Funny 2 Smoking Cats Drinking Beer Smoking Kitten Cat Meme T-Shirt","Funny Smoking Cat Cigarette Kitty Gen Z Meme",B0GFN6R235,214594,LOW,288,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%202%20Smoking%20Cats%20Drinking%20Beer%20Smoking%20Kitten%20Cat%20Meme%20T-Shirt,6/2/2026
13,7,2022-07-16,"It's Fine I'm Fine Everything is Fine Shirt Tie Dye Cat T-Shirt","Tie Dye It's Fine I'm Fine Everything Is Fine Tees",B0B6RKWGXH,249178,LOW,292,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=It's%20Fine%20I'm%20Fine%20Everything%20is%20Fine%20Shirt%20Tie%20Dye%20Cat%20T-Shirt,6/2/2026
14,7,2025-09-09,"Vintage Japanese Cat Book Lovers UFO Alien Abduction Cat Dad T-Shirt","Japanese Gifts Co.",B0FQCMZSPN,84806,LOW,314,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Vintage%20Japanese%20Cat%20Book%20Lovers%20UFO%20Alien%20Abduction%20Cat%20Dad%20T-Shirt,6/2/2026
15,7,2023-12-07,"Catzilla Cat Japanese Art Funny Cat Gifts for Men Women Kid T-Shirt","Funny Cat Lover Gifts Graphic Tees Art",B0CPR21WGM,83448,MEDIUM,633,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Catzilla%20Cat%20Japanese%20Art%20Funny%20Cat%20Gifts%20for%20Men%20Women%20Kid%20T-Shirt,6/2/2026
16,7,2022-10-08,"Shirt Men Best Cat Dad Ever Funny Cat Lover Gift T-Shirt","CAT",B0BHP6T39J,74479,MEDIUM,794,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Shirt%20Men%20Best%20Cat%20Dad%20Ever%20Funny%20Cat%20Lover%20Gift%20T-Shirt,6/2/2026
17,6,2025-04-26,"White Cat Japanese Flower Japan Kanji Zoo Mom Dad T-Shirt","JapansCollective",B0F6KGVC5L,902966,LOW,43,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=White%20Cat%20Japanese%20Flower%20Japan%20Kanji%20Zoo%20Mom%20Dad%20T-Shirt,6/2/2026
18,6,2024-02-04,"Kitten Nuggets Food Pun Cat Lover Gift Chicken Nuggets Unisex-Adults T-Shirt Black Small","InGENIUS Funny Cat Owner Shirts & Gifts",B0CTXYFSY4,371510,LOW,117,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Kitten%20Nuggets%20Food%20Pun%20Cat%20Lover%20Gift%20Chicken%20Nuggets%20Unisex-Adults%20T-Shirt%20Black%20Small,6/2/2026
19,6,2025-10-30,"Cat Daddy Retro Sunglasses Cat Fur Dad Papa Vintage Cat Dad T-Shirt","Best Cat Dad Gifts For Men Daddy Fathers Day Tees",B0FYK8SBXW,331356,LOW,173,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Cat%20Daddy%20Retro%20Sunglasses%20Cat%20Fur%20Dad%20Papa%20Vintage%20Cat%20Dad%20T-Shirt,6/2/2026
20,6,2026-01-20,"I Deserve an Microwaved Hot Dog Cat T-Shirt","I Deserve An Microwaved Hot Dog Cat Tees",B0GHR5GL9V,469599,LOW,211,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=I%20Deserve%20an%20Microwaved%20Hot%20Dog%20Cat%20T-Shirt,6/2/2026
21,6,2025-10-10,"Y2K Cat Jumping Stars Silly 90s 2000s Grunge Vintage Graphic T-Shirt","Cute Cat Stars y2k Grunge Aesthetic",B0FVMK73R8,371997,LOW,234,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Y2K%20Cat%20Jumping%20Stars%20Silly%2090s%202000s%20Grunge%20Vintage%20Graphic%20T-Shirt,6/2/2026
22,6,2023-06-12,"Funny Cat I was Told to Check My Attitude | Cat Humor T-Shirt","Funny Cat Sarcasm Humor Mens Womens Tees",B0C7QN6Y1G,537864,LOW,246,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Cat%20I%20was%20Told%20to%20Check%20My%20Attitude%20%7C%20Cat%20Humor%20T-Shirt,6/2/2026
23,6,2025-09-15,"A Skull But It's Cats Kitty Skeleton Halloween Cat Skull T-Shirt","Cat Skull Shirts",B0FR4B4DH4,412439,LOW,255,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=A%20Skull%20But%20It's%20Cats%20Kitty%20Skeleton%20Halloween%20Cat%20Skull%20T-Shirt,6/2/2026
24,6,2024-04-05,"Cat Judging You Silently Funny Black Cat Mom Dad Pullover Hoodie","Funny Cat Judging You Silently",B0CZXQS5WL,405738,LOW,286,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Cat%20Judging%20You%20Silently%20Funny%20Black%20Cat%20Mom%20Dad%20Pullover%20Hoodie,6/2/2026
25,6,2026-01-04,"Hiss Cat Kittens Lovers Rock Rockin Birthday Men Women Gifts T-Shirt","Funny Cat Design Studio Co.",B0GDWM3K7T,562294,LOW,289,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Hiss%20Cat%20Kittens%20Lovers%20Rock%20Rockin%20Birthday%20Men%20Women%20Gifts%20T-Shirt,6/2/2026
26,6,2025-07-29,"Defend Your Local Public Library Funny Knight Cat T-Shirt","Book Lovers Fantasy Library Tee Co.",B0FKB4JFPF,376525,LOW,293,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Defend%20Your%20Local%20Public%20Library%20Funny%20Knight%20Cat%20T-Shirt,6/2/2026
27,6,2024-11-28,"Cats Side Quest Distracted Tabletop Funny Men Women Kids Dad Tank Top","Rpg Gamer Cats Side Quest Distracted Nerdy Gaming",B0DP5Z7XBZ,334996,LOW,296,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Cats%20Side%20Quest%20Distracted%20Tabletop%20Funny%20Men%20Women%20Kids%20Dad%20Tank%20Top,6/2/2026
28,6,2025-03-27,"Fur Dad Man Myth Snack Dealer Funny Paw Cat Dog Father's Day T-Shirt","Vintage Funny Paw Cat Dog Father's Day Men",B0F2Q264B5,242976,LOW,347,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Fur%20Dad%20Man%20Myth%20Snack%20Dealer%20Funny%20Paw%20Cat%20Dog%20Father's%20Day%20T-Shirt,6/2/2026
29,6,2025-05-18,"Funny Cat Dad Life The Catfather Fathers Day Mens Vintage T-Shirt","Mens Funny Cat Daddy Fathers Day Cat Lovers Tee",B0F92C8LV5,224716,LOW,352,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Cat%20Dad%20Life%20The%20Catfather%20Fathers%20Day%20Mens%20Vintage%20T-Shirt,6/2/2026
30,6,2025-07-27,"Funny Cat Meme I Require Snacks Design Men Women Kids T-Shirt","Cat Funny Snack Humor Sarcastic Animal Meme Quote",B0FK42NWHB,206866,LOW,354,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Cat%20Meme%20I%20Require%20Snacks%20Design%20Men%20Women%20Kids%20T-Shirt,6/2/2026
31,6,2025-03-22,"Vintage Cat Dad The Man Myth Snack Dealer Funny Fathers Day T-Shirt","Vintage Cat Dad The Man Myth Snack Dealer Kat",B0F25HKYWB,299520,LOW,363,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Vintage%20Cat%20Dad%20The%20Man%20Myth%20Snack%20Dealer%20Funny%20Fathers%20Day%20T-Shirt,6/2/2026
32,6,2025-12-09,"Alien Cat Meme Retro Silly Cat Y2K Vintage Space Kitty Funny T-Shirt","Y2K Alien Cat Meme Retro Silly Cat Vintage Tee Co",B0G5WPW7BL,285126,LOW,378,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Alien%20Cat%20Meme%20Retro%20Silly%20Cat%20Y2K%20Vintage%20Space%20Kitty%20Funny%20T-Shirt,6/2/2026
33,6,2025-02-20,"Cat Karate Judo Japan Japanese Flag Funny Graphic T-Shirt","Cute and Funny Cat Designs.",B0DXX71GCN,293899,LOW,383,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Cat%20Karate%20Judo%20Japan%20Japanese%20Flag%20Funny%20Graphic%20T-Shirt,6/2/2026
34,6,2024-04-30,"Cat Daddy Retro Cat Sunglasses Cool Cat Dad Gift Fathers Day T-Shirt","Funny Cat Daddy Shirts Men Dad Fathers Day Gift",B0D31HS36L,225297,LOW,391,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Cat%20Daddy%20Retro%20Cat%20Sunglasses%20Cool%20Cat%20Dad%20Gift%20Fathers%20Day%20T-Shirt,6/2/2026
35,6,2025-07-12,"Cute Tabby Cat Pocket Funny Gifts Cat Mom Cat Dad Cat Lover T-Shirt","Tabby Cat In Pocket Apparel Gifts Graphic Tees",B0FHCS8FV8,153033,LOW,426,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Cute%20Tabby%20Cat%20Pocket%20Funny%20Gifts%20Cat%20Mom%20Cat%20Dad%20Cat%20Lover%20T-Shirt,6/2/2026
36,6,2025-08-15,"Cute Headphones Cat Funny y2k Grunge Silly Graphic T-Shirt","Funny Cat With Headphones Silly Meme Cat",B0FMK1WGTY,274712,LOW,454,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Cute%20Headphones%20Cat%20Funny%20y2k%20Grunge%20Silly%20Graphic%20T-Shirt,6/2/2026
37,6,2025-08-19,"The Cat is Watching Today Funny Japanese Black Cat T-Shirt","Funny Japanese Cat Graphic Manga Eyes Apparel",B0FMYDNFZH,240300,LOW,478,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=The%20Cat%20is%20Watching%20Today%20Funny%20Japanese%20Black%20Cat%20T-Shirt,6/2/2026
38,6,2023-11-24,"Fishing Here-Fishy Bass Fish Dad Funny T-Shirt","CAT",B0CNXYF3M4,210804,LOW,480,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Fishing%20Here-Fishy%20Bass%20Fish%20Dad%20Funny%20T-Shirt,6/2/2026
39,6,2025-07-30,"Cat Dad Cat Lover Funny Cat Minimalist Subtle Cat T-Shirt","Minimalist Cat Lover Subtle Feline Art Apparel",B0FKHJ4866,194013,MEDIUM,511,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Cat%20Dad%20Cat%20Lover%20Funny%20Cat%20Minimalist%20Subtle%20Cat%20T-Shirt,6/2/2026
40,6,2024-11-26,"Cat Ramen Japanese Art Great Wave Kanagawa Funny Graphic T-Shirt","Cool Tees",B0DP2N2QRL,180801,MEDIUM,536,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Cat%20Ramen%20Japanese%20Art%20Great%20Wave%20Kanagawa%20Funny%20Graphic%20T-Shirt,6/2/2026
