Rank,Score,Listed Date,Product Title,Brand,ASIN,BSR,Competition Level,Competition Count,Opportunity Rating,Competition URL,Analysis Date
1,7,2024-08-14,"Black X-Small Unisex-Adults Modern Cartoon Humor Dance T-Shirt","Farm Animal Humor Chicken Pole Dance",B0DD4HGF2B,572054,LOW,56,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Black%20X-Small%20Unisex-Adults%20Modern%20Cartoon%20Humor%20Dance%20T-Shirt,5/31/2026
2,6,2023-04-17,"Chicken Bandana Girl - Poultry Owner Rancher Farmer Backyard T-Shirt","Funny Chicken Shirts",B0C2RTT7JB,650437,LOW,99,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Chicken%20Bandana%20Girl%20-%20Poultry%20Owner%20Rancher%20Farmer%20Backyard%20T-Shirt,5/31/2026
3,6,2022-01-27,"Chicken Daddy - a Fun Design for Every Rooster in The Basket T-Shirt","Lustige Hühner - und Hahn Designs",B09R9TJCBY,488517,LOW,114,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Chicken%20Daddy%20-%20a%20Fun%20Design%20for%20Every%20Rooster%20in%20The%20Basket%20T-Shirt,5/31/2026
4,6,2025-02-17,"Rooster Wearing Sunglasses Photobooth Selfie Farm Chicken T-Shirt","Funny Rooster Wearing Sunglasses Photobooth Selfie",B0DXFKD1PR,320214,LOW,129,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Rooster%20Wearing%20Sunglasses%20Photobooth%20Selfie%20Farm%20Chicken%20T-Shirt,5/31/2026
5,6,2024-04-03,"Chickens The Gateway To Conspiracies T-Shirt","Chickens The Gateway To Conspiracies Tees",B0CZPWD7PD,520055,LOW,180,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Chickens%20The%20Gateway%20To%20Conspiracies%20T-Shirt,5/31/2026
6,6,2024-04-23,"It's Fine I'm Fine Everything is Fine Funny Chicken Graphic T-Shirt","It's Fine I'm Fine Everything Is Fine Chicken Tee",B0D2J7LZ6L,571127,LOW,293,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=It's%20Fine%20I'm%20Fine%20Everything%20is%20Fine%20Funny%20Chicken%20Graphic%20T-Shirt,5/31/2026
7,6,2019-09-12,"Backyard Chicken Farmer Distressed Gift for Chicken Moms Dad T-Shirt","Chicken Farmer Backyard Chicken Coop Gift Tees",B07XVC8CF9,755938,LOW,431,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Backyard%20Chicken%20Farmer%20Distressed%20Gift%20for%20Chicken%20Moms%20Dad%20T-Shirt,5/31/2026
8,6,2024-10-13,"Chicken Art Crazy Chicken Gifts for Men Women Kid Boy Family T-Shirt","Funny Chicken Hens Apparel Gifts Graphic Tees",B0DJZNS2T9,260858,MEDIUM,593,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Chicken%20Art%20Crazy%20Chicken%20Gifts%20for%20Men%20Women%20Kid%20Boy%20Family%20T-Shirt,5/31/2026
9,5,2021-10-26,"Saying Dude That's Just Wrong Chickens Eat Chicken Drumsticks T-Shirt","Fast Food Chicken Wings Funny Deep Fried Chicken",B09KD6V6G5,1030989,LOW,19,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Saying%20Dude%20That's%20Just%20Wrong%20Chickens%20Eat%20Chicken%20Drumsticks%20T-Shirt,5/31/2026
10,5,2023-09-21,"Vintage God Says I Am Bible Verse Christian Farm Chickens Re T-Shirt","Jesus christian lover christ saves cross 2074",B0CJJG6KK6,1320642,LOW,57,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Vintage%20God%20Says%20I%20Am%20Bible%20Verse%20Christian%20Farm%20Chickens%20Re%20T-Shirt,5/31/2026
