Rank,Score,Listed Date,Product Title,Brand,ASIN,BSR,Competition Level,Competition Count,Opportunity Rating,Competition URL,Analysis Date
1,6,2025-03-01,"Vintage Gothic Tarot Card Yarn Hoarder Knitter Crochet Lover T-Shirt","Knitter Tarot Card Crochet Lover",B0DYY4XLP5,759452,LOW,28,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Vintage%20Gothic%20Tarot%20Card%20Yarn%20Hoarder%20Knitter%20Crochet%20Lover%20T-Shirt,5/30/2026
2,6,2025-10-26,"Everything Better Stitcher Quilts Crocheting Cross Stitch Long Sleeve T-Shirt","Needlework Quilting Knitter Stitching Women Girls",B0FXVMWGC6,855745,LOW,29,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Everything%20Better%20Stitcher%20Quilts%20Crocheting%20Cross%20Stitch%20Long%20Sleeve%20T-Shirt,5/30/2026
3,6,2021-07-26,"Cow Tee You'Re About As Pleasant As An Itchy Butthole T-Shirt","Cow You'Re About As Pleasant As An Itchy Butthole",B09B8Z5X7N,852855,LOW,50,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Cow%20Tee%20You'Re%20About%20As%20Pleasant%20As%20An%20Itchy%20Butthole%20T-Shirt,5/30/2026
4,6,2025-12-29,"Let Me Be Weird in Peace Crochet Cat Humor Art T-Shirt","Weird Yarn Mood Studio",B0GCZXLZFT,611762,LOW,52,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Let%20Me%20Be%20Weird%20in%20Peace%20Crochet%20Cat%20Humor%20Art%20T-Shirt,5/30/2026
5,6,2018-11-19,"JESUS LOVES YOU! THE REST OF US THINK YOU'RE AN ASSHOLE! T-Shirt","cheesy teesy",B07KPYPY1R,801986,LOW,53,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=JESUS%20LOVES%20YOU!%20THE%20REST%20OF%20US%20THINK%20YOU'RE%20AN%20ASSHOLE!%20T-Shirt,5/30/2026
6,6,2021-08-18,"Gambler Gift Man Myth The Legend T-Shirt","Gambler Gifts",B08KDFWS5M,637505,LOW,59,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Gambler%20Gift%20Man%20Myth%20The%20Legend%20T-Shirt,5/30/2026
7,6,2020-09-09,"I Just Baked You Some Shut The Fucupcakes Vintage Retro Cat T-Shirt","Cat Baking Great Funny gift for Cat Lovers",B08HRPNLHM,756890,LOW,72,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=I%20Just%20Baked%20You%20Some%20Shut%20The%20Fucupcakes%20Vintage%20Retro%20Cat%20T-Shirt,5/30/2026
8,6,2023-05-20,"I Fold Love Into Every Card I Make Cardmaking Crafter T-Shirt","Cardmaking Gift Ideas For Crafter",B0C5TM8NKK,770532,LOW,82,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=I%20Fold%20Love%20Into%20Every%20Card%20I%20Make%20Cardmaking%20Crafter%20T-Shirt,5/30/2026
9,6,2021-11-17,"Knitting Crocheting Sheep Knitter Yarn Needle T-Shirt","Cute Knitting Crocheting Sheep",B09M4B2CSP,489580,LOW,108,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Knitting%20Crocheting%20Sheep%20Knitter%20Yarn%20Needle%20T-Shirt,5/30/2026
10,6,2018-08-27,"It's Fine - Passive Aggressive Text Message Funny T-Shirt Small","BeautyAndMockery",B07GV3ST6D,475824,LOW,142,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=It's%20Fine%20-%20Passive%20Aggressive%20Text%20Message%20Funny%20T-Shirt%20Small,5/30/2026
