Rank,Score,Listed Date,Product Title,Brand,ASIN,BSR,Competition Level,Competition Count,Opportunity Rating,Competition URL,Analysis Date
1,7,2019-11-01,"I May Look Calm But in My Head Ive Pecked You 3 Times T-Shirt","I May Look Calm But In My Head TShirt",B07ZVJN3YL,323708,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=I%20May%20Look%20Calm%20But%20in%20My%20Head%20Ive%20Pecked%20You%203%20Times%20T-Shirt,5/31/2026
2,7,2025-06-16,"Funny Chicken Graphic Tee Men Women Kids Chicken Butt T-Shirt","Funny Meme Graphic For Men Women Kids Tee",B0FDB9HY62,316834,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Chicken%20Graphic%20Tee%20Men%20Women%20Kids%20Chicken%20Butt%20T-Shirt,5/31/2026
3,7,2025-09-21,"F-Caw-F Rooster Meme Funny Chicken Humor Joke FCAWF Cancer T-Shirt","F-CAW-F Cancer Humor Rooster Funny Chicken Meme",B0FRZFN519,358761,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=F-Caw-F%20Rooster%20Meme%20Funny%20Chicken%20Humor%20Joke%20FCAWF%20Cancer%20T-Shirt,5/31/2026
4,7,2024-04-28,"Funny Chicken Owner Art For Women Girls Chicken Lover Farmer T-Shirt","Chicken Lover Ideas For Women Girls Chicken Owner.",B0D2WCQJXC,349521,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Chicken%20Owner%20Art%20For%20Women%20Girls%20Chicken%20Lover%20Farmer%20T-Shirt,5/31/2026
5,7,2025-01-31,"Guess What Chicken Butt T-Shirt","Funny Chicken Farmer Farming",B0DVKT6C48,406868,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Guess%20What%20Chicken%20Butt%20T-Shirt,5/31/2026
6,7,2024-01-07,"Funny Graphic Tee It's Fine I'm Fine Weird Crazy Chicken T-Shirt","Cool Tees",B0CRQDRNSW,405427,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Graphic%20Tee%20It's%20Fine%20I'm%20Fine%20Weird%20Crazy%20Chicken%20T-Shirt,5/31/2026
7,7,2025-12-03,"Remember who You are Chicken T-Shirt","remember who you are chicken shirt",B0G4WFRG9D,470786,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Remember%20who%20You%20are%20Chicken%20T-Shirt,5/31/2026
8,7,2024-02-21,"Vintage Chicken Dad Chicken Lovers Daddy Father's Day T-Shirt","Chicken Dad Vintage Retro Fathers Day Funny Gift",B0CW3D1WHD,465475,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Vintage%20Chicken%20Dad%20Chicken%20Lovers%20Daddy%20Father's%20Day%20T-Shirt,5/31/2026
9,7,2024-05-14,"Funny Chicken Daddy Farmer, Fathers Day Mens, Vintage T-Shirt","Dad Farmer Chicken Lover, 4th of july",B0D46811J7,387755,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Chicken%20Daddy%20Farmer%2C%20Fathers%20Day%20Mens%2C%20Vintage%20T-Shirt,5/31/2026
10,7,2024-01-10,"Chicken Dads Have The Best Peckers Ever Funny Adult Humor T-Shirt, Small","For Dads Who Have Everything Vintage Retro Style",B0CRYXBBVG,444817,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Chicken%20Dads%20Have%20The%20Best%20Peckers%20Ever%20Funny%20Adult%20Humor%20T-Shirt%2C%20Small,5/31/2026
11,7,2024-03-15,"Funny Chicken Lover Things I Do In My Spare Time,Chicken T-Shirt","I am a chicken lover",B0CY6FBVW3,482301,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Chicken%20Lover%20Things%20I%20Do%20In%20My%20Spare%20Time%2CChicken%20T-Shirt,5/31/2026
12,7,2022-09-16,"Just a Boy who Loves Chickens Kids Boys Chicken T-Shirt","Funny Chicken Lover & Owner Gift Ideas",B0BFJCBMQB,564696,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Just%20a%20Boy%20who%20Loves%20Chickens%20Kids%20Boys%20Chicken%20T-Shirt,5/31/2026
13,7,2023-11-19,"Cool Rooster on Colorful Painted Rooster T-Shirt","Rooster lover on Rooster kids, women, men apparel",B0CNN2C5VZ,554341,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Cool%20Rooster%20on%20Colorful%20Painted%20Rooster%20T-Shirt,5/31/2026
