Rank,Score,Listed Date,Product Title,Brand,ASIN,BSR,Competition Level,Competition Count,Opportunity Rating,Competition URL,Analysis Date
1,8,2019-03-28,"Political Party Booze Cruise Shades & Red Cups T-Shirt","George Washington 4th of July Party Shirts",B07Q5CFC21,228935,LOW,36,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Political%20Party%20Booze%20Cruise%20Shades%20%26%20Red%20Cups%20T-Shirt,6/2/2026
2,7,2025-03-06,"Wildlife VBS 2026 Park Cruise Trip Vintage Jungle T-Shirt","Jungle Vacation Bible School Kids Youth",B0DZGYH86L,583007,LOW,62,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Wildlife%20VBS%202026%20Park%20Cruise%20Trip%20Vintage%20Jungle%20T-Shirt,6/2/2026
3,7,2025-06-30,"Halloween Cruise Squad Boo Ghosts Witch Horror Cruise Ship T-Shirt","Cruise Ship Halloween Costume",B0FG2WF49G,476732,LOW,64,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Halloween%20Cruise%20Squad%20Boo%20Ghosts%20Witch%20Horror%20Cruise%20Ship%20T-Shirt,6/2/2026
4,7,2021-09-23,"We are More Than Just Cruise Friends - Cruise Ship Cruiser T-Shirt","Funny Cruise Shirts",B09GZH2KRZ,441598,LOW,96,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=We%20are%20More%20Than%20Just%20Cruise%20Friends%20-%20Cruise%20Ship%20Cruiser%20T-Shirt,6/2/2026
5,7,2025-07-27,"The Cruisefather Cruise Fathers Day Dad T-Shirt","Cruising Father's Day Design",B0FK444WNY,273935,LOW,143,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=The%20Cruisefather%20Cruise%20Fathers%20Day%20Dad%20T-Shirt,6/2/2026
6,7,2026-03-30,"250th Freedom 1776-2026 4th July Three Cute Cruise Ship T-Shirt","Cruise Ship 4th Of July Costume",B0GVDS66YZ,559289,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=250th%20Freedom%201776-2026%204th%20July%20Three%20Cute%20Cruise%20Ship%20T-Shirt,6/2/2026
7,6,2025-04-09,"The One Where They Go On A Cruise Summer Vacation Beach T-Shirt","The One Where They Go On A Cruise Summer Vacation.",B0F4961B3X,368682,LOW,120,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=The%20One%20Where%20They%20Go%20On%20A%20Cruise%20Summer%20Vacation%20Beach%20T-Shirt,6/2/2026
8,6,2025-01-18,"Youngest Sister Rules Don't Apply to Me Sisters Cruise 2026 T-Shirt","Funny Sister Cruise 2026 Sisters Vacation Matching",B0DTFFCN3V,428100,LOW,125,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Youngest%20Sister%20Rules%20Don't%20Apply%20to%20Me%20Sisters%20Cruise%202026%20T-Shirt,6/2/2026
9,6,2021-09-23,"I Love It When We're Cruising Together - Cruise Ship Cruiser T-Shirt Small","Funny Cruise Shirts",B09GZ9C1VF,569237,LOW,257,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=I%20Love%20It%20When%20We're%20Cruising%20Together%20-%20Cruise%20Ship%20Cruiser%20T-Shirt%20Small,6/2/2026
10,6,2026-03-26,"Today's Cruise Forecast Drinking with A Chance of Gambling T-Shirt","Funny Cruise Vacation Party Humor Graphic",B0GTYM4XNR,325457,LOW,266,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Today's%20Cruise%20Forecast%20Drinking%20with%20A%20Chance%20of%20Gambling%20T-Shirt,6/2/2026
11,6,2025-01-18,"I Make The Rules Oldest Sister Cruise 2026 Sisters Cruising T-Shirt","Funny Sister Cruise 2026 Sisters Vacation Matching",B0DTFF358F,586773,LOW,266,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=I%20Make%20The%20Rules%20Oldest%20Sister%20Cruise%202026%20Sisters%20Cruising%20T-Shirt,6/2/2026
12,6,2019-07-22,"Oh Ship It's an Alaskan Trip - Matching Alaska Cruise T-Shirt","OH SHIP! Cruise Wear",B07VJJZL7M,575797,LOW,280,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Oh%20Ship%20It's%20an%20Alaskan%20Trip%20-%20Matching%20Alaska%20Cruise%20T-Shirt,6/2/2026
13,6,2026-03-04,"Alaska Cruise 2026 Making Memories Together Vacation Trip Long Sleeve T-Shirt","Alaska cruise family vacation 2026",B0GR5YQVRH,567401,LOW,293,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Alaska%20Cruise%202026%20Making%20Memories%20Together%20Vacation%20Trip%20Long%20Sleeve%20T-Shirt,6/2/2026
14,6,2023-04-18,"Fun Cruise - Drinking with a Chance of Gambling T-Shirt","Cruising Cruise Ship Gifts",B0C2TQ77HF,345422,LOW,300,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Fun%20Cruise%20-%20Drinking%20with%20a%20Chance%20of%20Gambling%20T-Shirt,6/2/2026
15,6,2025-11-24,"Just Here for the Free Ice Cream & Duck Hunting Funny Cruise T-Shirt","Funny Rubber Duck Boat Cruise Men Kids T-Shirt",B0G3SWBT99,278649,LOW,415,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Just%20Here%20for%20the%20Free%20Ice%20Cream%20%26%20Duck%20Hunting%20Funny%20Cruise%20T-Shirt,6/2/2026
16,6,2025-03-25,"Matching Couples Cruise Men Candy Husband and Wife Cruise T-Shirt","Matching Cruise Shirts Couples Outfits",B0F2G8SRSF,202133,MEDIUM,573,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Matching%20Couples%20Cruise%20Men%20Candy%20Husband%20and%20Wife%20Cruise%20T-Shirt,6/2/2026
17,6,2025-04-05,"Board The Ship It's Graduation Trip 2026 Senior Cruise Party T-Shirt","Graduation Cruise Ship Vacation 2026 Costumes Tee.",B0F3V65PMS,211310,MEDIUM,612,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Board%20The%20Ship%20It's%20Graduation%20Trip%202026%20Senior%20Cruise%20Party%20T-Shirt,6/2/2026
18,6,2026-01-06,"Family Cruise 2026 I Love It When We're Cruisin' Together T-Shirt","Family Cruise 2026 I Love It When We're Cruising",B0GF8SX6WF,179564,MEDIUM,741,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Family%20Cruise%202026%20I%20Love%20It%20When%20We're%20Cruisin'%20Together%20T-Shirt,6/2/2026
19,6,2025-11-30,"Oh Ship It's a Family Trip 2026 Matching Family 2026 Cruise T-Shirt","OH SHIP! Cruise Wear",B0G4JGM3WF,231589,HIGH,991,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Oh%20Ship%20It's%20a%20Family%20Trip%202026%20Matching%20Family%202026%20Cruise%20T-Shirt,6/2/2026
20,6,2025-11-30,"Funny Matching Family Friends and Group Alaska Cruise 2026 T-Shirt","Alaska cruise family vacation 2026",B0G4J1YSM6,221005,HIGH,997,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Matching%20Family%20Friends%20and%20Group%20Alaska%20Cruise%202026%20T-Shirt,6/2/2026
21,6,2025-07-08,"Matching Family Friends and Group Alaskan Alaska Cruise 2026 T-Shirt","Alaska 2026 Family Friends Summer Vacation",B0FH1RWZ4V,154813,HIGH,1000,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Matching%20Family%20Friends%20and%20Group%20Alaskan%20Alaska%20Cruise%202026%20T-Shirt,6/2/2026
22,6,2025-03-06,"Family Birthday Cruising Sunglasses It's My Birthday Cruise T-Shirt","Funny Matching Family Birthday Cruise Vacation",B0DZJ1TG6N,252481,HIGH,1000,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Family%20Birthday%20Cruising%20Sunglasses%20It's%20My%20Birthday%20Cruise%20T-Shirt,6/2/2026
23,6,2024-03-24,"Board The Ship It's A Family Trip 2026 Group Matching Cruise T-Shirt","Birthday Cruise Ship Boat Party Accessories Tees.",B0CYY54SD6,214526,HIGH,1000,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Board%20The%20Ship%20It's%20A%20Family%20Trip%202026%20Group%20Matching%20Cruise%20T-Shirt,6/2/2026
24,6,2024-04-27,"Graduation Cruise Squad 2026 Funny Cruising Graduation Trip T-Shirt","Graduation Cruise Squad Funny Cruising 2026 Outfit",B0D2T76PMJ,226340,HIGH,1000,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Graduation%20Cruise%20Squad%202026%20Funny%20Cruising%20Graduation%20Trip%20T-Shirt,6/2/2026
25,6,2025-12-03,"It's My Birthday Cruise 2026 Party Cruise Birthday Vacation T-Shirt","My Birthday Cruise 2026 Gift",B0G4WP8TYX,262490,HIGH,1000,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=It's%20My%20Birthday%20Cruise%202026%20Party%20Cruise%20Birthday%20Vacation%20T-Shirt,6/2/2026
26,6,2026-01-16,"Matching Family Friends and Group Alaskan Alaska Cruise 2026 T-Shirt","Alaska 2026 Family Friends Summer Vacation",B0GH5SBXVR,288644,HIGH,1000,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Matching%20Family%20Friends%20and%20Group%20Alaskan%20Alaska%20Cruise%202026%20T-Shirt,6/2/2026
27,6,2025-11-17,"T-Shirt","Birthday Cruise Crew Cruise Birthday Cruising Trip",B0G2MPZH5B,626961,UNKNOWN,0,Good,,6/2/2026
28,5,2026-01-01,"Today's Forecast Cruising with A Chance of Drinking 2026 T-Shirt","Todays Forecast Cruising With A Chance Of Drinking",B0GDMBRJGD,695550,LOW,120,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Today's%20Forecast%20Cruising%20with%20A%20Chance%20of%20Drinking%202026%20T-Shirt,6/2/2026
29,5,2026-04-27,"Funny Bruh Titanic 1912 - Cruise Ship Kids Titanic Iceberg T-Shirt","History Iceberg Cruise Vessel Designs",B0GYPBS9CK,693932,LOW,186,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Bruh%20Titanic%201912%20-%20Cruise%20Ship%20Kids%20Titanic%20Iceberg%20T-Shirt,6/2/2026
30,5,2025-04-27,"I Have No Control On A Cruise They Book Themselves Cruise T-Shirt","Cruise Gifts Beach Tees",B0F6L4LFG1,781168,LOW,187,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=I%20Have%20No%20Control%20On%20A%20Cruise%20They%20Book%20Themselves%20Cruise%20T-Shirt,6/2/2026
31,5,2026-01-15,"90th Birthday Cruise Crew Friends Family Vacation Matching T-Shirt","90 Year Old Cruise 90th Birthday Cruise Crew 2026",B0GH2CW9LK,617466,LOW,193,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=90th%20Birthday%20Cruise%20Crew%20Friends%20Family%20Vacation%20Matching%20T-Shirt,6/2/2026
32,5,2025-04-16,"Retro Sunset Cruising On Cruise Time Hello Summer Vacation T-Shirt","On Cruise Time Hello Summer Vacation Ades.tshirt",B0F542NWS9,683772,LOW,201,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Retro%20Sunset%20Cruising%20On%20Cruise%20Time%20Hello%20Summer%20Vacation%20T-Shirt,6/2/2026
