Rank,Score,Listed Date,Product Title,Brand,ASIN,BSR,Competition Level,Competition Count,Opportunity Rating,Competition URL,Analysis Date
1,8,2019-09-01,"Mens Crusher Tee I'll Be Watching You, Darkest Blue","Life is Good",B07TMQ82NK,102723,LOW,6,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Mens%20Crusher%20Tee%20I'll%20Be%20Watching%20You%2C%20Darkest%20Blue,5/31/2026
2,7,2026-02-16,"Celestial Golden Retriever Moon Howling Vintage 90s Retro T-Shirt","Golden Retriever Celestial & Retro Y2K Apparel",B0GNMK24M3,551127,LOW,79,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Celestial%20Golden%20Retriever%20Moon%20Howling%20Vintage%2090s%20Retro%20T-Shirt,5/31/2026
3,7,2026-05-05,"Big Stretch Chocolate Labrador Retriever Stretching Dog Art T-Shirt","Retro Chocolate Labrador Stretching Dog Lover Art",B0GZKLS7KG,596628,LOW,82,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Big%20Stretch%20Chocolate%20Labrador%20Retriever%20Stretching%20Dog%20Art%20T-Shirt,5/31/2026
4,7,2026-05-25,"in My Golden Retriever 70s Era Funny Retriever Graphic T-Shirt","N/A",B0H2VMPKYZ,255838,LOW,292,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=in%20My%20Golden%20Retriever%2070s%20Era%20Funny%20Retriever%20Graphic%20T-Shirt,5/31/2026
5,6,2024-11-11,"Unisex-Adult Dog Lovers All Ages Grey Cartoon Modern Classic Fit Round Collar Short Sleeve T-Shirt","LABLOVE",B0DMPRZ5XF,663898,LOW,2,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Unisex-Adult%20Dog%20Lovers%20All%20Ages%20Grey%20Cartoon%20Modern%20Classic%20Fit%20Round%20Collar%20Short%20Sleeve%20T-Shirt,5/31/2026
6,6,2026-05-07,"Golden Retriever Zoomies Club Retro Running Dog Pet Lover T-Shirt","Retro Golden Retriever Zoomies Club Dog Lover Art",B0GZVYRMHL,662166,LOW,78,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Golden%20Retriever%20Zoomies%20Club%20Retro%20Running%20Dog%20Pet%20Lover%20T-Shirt,5/31/2026
7,6,2025-08-28,"Local Boy Hunting Black Lab Retriever Waterfowl Marsh Sunset T-Shirt","Local Boy Duck Hunting Dog Marsh Scene Lover Tee",B0FP2RNLC5,891739,LOW,95,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Local%20Boy%20Hunting%20Black%20Lab%20Retriever%20Waterfowl%20Marsh%20Sunset%20T-Shirt,5/31/2026
8,6,2026-01-28,"Goldendoodle Howling to The Moon Vintage Mystical Dog Art T-Shirt","Goldendoodle Howling to The Moon Vintage 90s Tees",B0GK8J54D9,509313,LOW,103,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Goldendoodle%20Howling%20to%20The%20Moon%20Vintage%20Mystical%20Dog%20Art%20T-Shirt,5/31/2026
9,6,2026-02-19,"Labzilla Giant Chocolate Labrador Retriever Dog Monster T-Shirt","Family Heritage Gifts",B0GP63VT7S,573120,LOW,117,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Labzilla%20Giant%20Chocolate%20Labrador%20Retriever%20Dog%20Monster%20T-Shirt,5/31/2026
10,6,2024-04-23,"In My Golden Era - Golden Retriever - T-Shirt","In My Golden Era Golden Retriever -",B0D2J8QG6J,438356,LOW,237,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=In%20My%20Golden%20Era%20-%20Golden%20Retriever%20-%20T-Shirt,5/31/2026
11,6,2025-11-22,"Mallard Duck Hunting Season Hunter Outdoor Vintage Wildlife T-Shirt","Duck Hunting Gear & Waterfowl Hunting Tees",B0G3DSFQGS,374215,LOW,238,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Mallard%20Duck%20Hunting%20Season%20Hunter%20Outdoor%20Vintage%20Wildlife%20T-Shirt,5/31/2026
12,6,2023-10-04,"Funny Dog Lover, Dog Humor, Dog Mom, Dog Dad T-Shirt","Funny Dog Gifts, Dog Lover Gifts, Dog Mom Gifts",B0CKGQL1C2,499738,LOW,289,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Dog%20Lover%2C%20Dog%20Humor%2C%20Dog%20Mom%2C%20Dog%20Dad%20T-Shirt,5/31/2026
13,6,2026-05-12,"Funny Golden Retriever Drinking Beer Dog Meme Humor T-Shirt","Funny Dog Lover Tee Gifts for Dog Pet Lovers",B0H1HC2PR4,572386,LOW,297,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Golden%20Retriever%20Drinking%20Beer%20Dog%20Meme%20Humor%20T-Shirt,5/31/2026
14,6,2026-04-03,"Funny Goldendoodle Drinking Iced Coffee Dog with Sunglasses T-Shirt","Funny Goldendoodle Drinking Iced Coffee Cool Dog",B0GVYDJK23,189436,LOW,309,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Goldendoodle%20Drinking%20Iced%20Coffee%20Dog%20with%20Sunglasses%20T-Shirt,5/31/2026
15,6,2021-05-30,"Best Dog Dad Ever Vintage Father's Day Dog Lover T-Shirt","Vintage Best Dog Dad Father's Day Apparel.",B0966K964P,235216,MEDIUM,553,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Best%20Dog%20Dad%20Ever%20Vintage%20Father's%20Day%20Dog%20Lover%20T-Shirt,5/31/2026
16,6,2025-10-24,"Yellow Labrador USA Flag T-Shirt","DogLoverCo.",B0FXMM5VQ7,289577,HIGH,1000,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Yellow%20Labrador%20USA%20Flag%20T-Shirt,5/31/2026
17,5,2026-02-26,"Golden Retriever Minimalist Badge Patch Line Art T-Shirt","Golden Retriever Apparel Co",B0GQCPQ1YL,1698141,LOW,26,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Golden%20Retriever%20Minimalist%20Badge%20Patch%20Line%20Art%20T-Shirt,5/31/2026
18,5,2026-05-23,"Save Water Drink Margs Golden Retriever Drinking Margarita T-Shirt","Golden Retriever Drinking Margarita Dog Meme Tees",B0H2PB8GJ3,1337792,LOW,29,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Save%20Water%20Drink%20Margs%20Golden%20Retriever%20Drinking%20Margarita%20T-Shirt,5/31/2026
