Rank,Score,Listed Date,Product Title,Brand,ASIN,BSR,Competition Level,Competition Count,Opportunity Rating,Competition URL,Analysis Date
1,7,2018-11-27,"Golden Retriever T-Shirt for Kids Boys Girls Sunglasses Pet T-Shirt","Dogs by 14th Floor",B07KX26WYH,519091,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Golden%20Retriever%20T-Shirt%20for%20Kids%20Boys%20Girls%20Sunglasses%20Pet%20T-Shirt,6/2/2026
2,7,2025-12-29,"Goldendoodle Smoking Cigarette Whisky Lover Funny Doodle Dog T-Shirt","Smoking Goldendoodle - Apparel & Gifts",B0GCYCCB4C,391657,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Goldendoodle%20Smoking%20Cigarette%20Whisky%20Lover%20Funny%20Doodle%20Dog%20T-Shirt,6/2/2026
3,6,2026-02-06,"Golden Doodle Dog Howling Moon Fantasy Forrest Wilderness T-Shirt","Golden Doodle Dog Howling Moon Co",B0GM34FBWF,444095,LOW,108,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Golden%20Doodle%20Dog%20Howling%20Moon%20Fantasy%20Forrest%20Wilderness%20T-Shirt,6/2/2026
4,6,2019-01-10,"Goldendoodle - The Dood Vintage Retro Dog T-Shirt for Men Women Girls Kids","We Love Goldendoodles - Funny Shirts & Gift Ideas",B07MFZBKJV,331685,LOW,252,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Goldendoodle%20-%20The%20Dood%20Vintage%20Retro%20Dog%20T-Shirt%20for%20Men%20Women%20Girls%20Kids,6/2/2026
5,6,2026-05-28,"Chill The Fourth Out Funny Goldendoodle Dog Lover T-Shirt","N/A",B0H36R3CYQ,316494,LOW,272,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Chill%20The%20Fourth%20Out%20Funny%20Goldendoodle%20Dog%20Lover%20T-Shirt,6/2/2026
6,6,2026-04-03,"Funny Goldendoodle Drinking Iced Coffee Dog with Sunglasses T-Shirt","Funny Goldendoodle Drinking Iced Coffee Cool Dog",B0GVYDJK23,216502,LOW,314,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Goldendoodle%20Drinking%20Iced%20Coffee%20Dog%20with%20Sunglasses%20T-Shirt,6/2/2026
7,6,2026-03-11,"Golden Retriever I Love Mom Dog Mom Design T-Shirt","Cute Golden Retriever Lover Graphic",B0GS747KJ8,983958,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Golden%20Retriever%20I%20Love%20Mom%20Dog%20Mom%20Design%20T-Shirt,6/2/2026
8,6,2019-06-12,"Best Doodle Dad Ever - Vintage Dog Golden Doodle Gift T-Shirt","Vintage Golden Doodle Gifts",B07T4C9Q9Y,860577,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Best%20Doodle%20Dad%20Ever%20-%20Vintage%20Dog%20Golden%20Doodle%20Gift%20T-Shirt,6/2/2026
9,6,2017-03-11,"The Dood Goldendoodle - Doodle Mom and Dood Dad Gift T-Shirt","SnowDog Tees Goldendoodle The Dood",B07KWN9QCT,655705,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=The%20Dood%20Goldendoodle%20-%20Doodle%20Mom%20and%20Dood%20Dad%20Gift%20T-Shirt,6/2/2026
10,6,2021-04-23,"Goldendoodle Labradoodle No Fluffs The Dood Funny Doodle Dog Men Women Girls Kids T-Shirt","Goldendoodle & Labradoodle Apparel Co.",B093CDNYNV,659450,UNKNOWN,0,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Goldendoodle%20Labradoodle%20No%20Fluffs%20The%20Dood%20Funny%20Doodle%20Dog%20Men%20Women%20Girls%20Kids%20T-Shirt,6/2/2026
