Rank,Score,Listed Date,Product Title,Brand,ASIN,BSR,Competition Level,Competition Count,Opportunity Rating,Competition URL,Analysis Date
1,7,2023-03-13,"Official Hell's Kitchen: Good Job! Now Piss Off! T-Shirt","Hell's Kitchen",B0BY9Q9P89,573762,LOW,19,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Official%20Hell's%20Kitchen%3A%20Good%20Job!%20Now%20Piss%20Off!%20T-Shirt,6/2/2026
2,7,2025-07-16,"Vintage Corningware Blue Cornflower Shirt T-Shirt","Blue cornflower vintage style art",B0FHQFNKS5,444027,LOW,53,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Vintage%20Corningware%20Blue%20Cornflower%20Shirt%20T-Shirt,6/2/2026
3,7,2024-08-16,"Let him Cook, Chef Gift, Bruh Let me Cook T-Shirt","Oh Boy Love It",B0DDCSTXJG,519805,LOW,69,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Let%20him%20Cook%2C%20Chef%20Gift%2C%20Bruh%20Let%20me%20Cook%20T-Shirt,6/2/2026
4,7,2019-05-10,"Funny Restaurant Chef - Jumping Chef Knife Logo T-Shirt Small","Cooking Humor",B07RQ8N1QQ,478827,LOW,98,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Restaurant%20Chef%20-%20Jumping%20Chef%20Knife%20Logo%20T-Shirt%20Small,6/2/2026
5,7,2026-03-27,"Spatula City Since 1989 Funny Kitchen Nostalgia T-Shirt","Spatula City Spatula Cooking Funny Retro Kitchen",B0GV5WPYDZ,261530,LOW,217,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Spatula%20City%20Since%201989%20Funny%20Kitchen%20Nostalgia%20T-Shirt,6/2/2026
6,6,2023-01-24,"Spatula City - Vintage Logo T-Shirt","Primotees",B0BSWKNQMV,922887,LOW,17,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Spatula%20City%20-%20Vintage%20Logo%20T-Shirt,6/2/2026
7,6,2020-07-21,"Taz Back Off Portrait Tank Top","LOONEY TUNES",B08DF27P78,680201,LOW,18,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Taz%20Back%20Off%20Portrait%20Tank%20Top,6/2/2026
8,6,2025-08-02,"Being a Lunch Lady is My Jam Retro Jam Jar Back to School T-Shirt","Back To School Matching Outfits School Staff By Fp",B0FKZJVPD1,742899,LOW,28,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Being%20a%20Lunch%20Lady%20is%20My%20Jam%20Retro%20Jam%20Jar%20Back%20to%20School%20T-Shirt,6/2/2026
9,6,2019-11-29,"Fuckwads Twatwaffles And Cuntcakes Are Not Tolerated T-Shirt","Funny Baking Gift Ideas",B0825QV5YB,746149,LOW,29,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Fuckwads%20Twatwaffles%20And%20Cuntcakes%20Are%20Not%20Tolerated%20T-Shirt,6/2/2026
10,6,2025-08-11,"Tomato Ketchup Bro is That You Food Pun Thanksgiving T-Shirt","PixelPunch Tomato Ketchup Thanksgiving Food Pun",B0FLXVHHDV,837086,LOW,33,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Tomato%20Ketchup%20Bro%20is%20That%20You%20Food%20Pun%20Thanksgiving%20T-Shirt,6/2/2026
