Rank,Score,Listed Date,Product Title,Brand,ASIN,BSR,Competition Level,Competition Count,Opportunity Rating,Competition URL,Analysis Date
1,4,2026-05-23,"Purposeful Activity Always Wins OT Design T-Shirt","Mademark",B0H2PN2DBW,N/A,LOW,13,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Purposeful%20Activity%20Always%20Wins%20OT%20Design%20T-Shirt,5/24/2026
2,4,2026-05-23,"Skills for Life Not Just Survival OT Design T-Shirt","Mademark",B0H2PQLWND,N/A,LOW,22,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Skills%20for%20Life%20Not%20Just%20Survival%20OT%20Design%20T-Shirt,5/24/2026
3,4,2026-05-23,"Sensory Processing Is Everything OT Design T-Shirt","Mademark",B0H2PCXQRR,N/A,LOW,32,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Sensory%20Processing%20Is%20Everything%20OT%20Design%20T-Shirt,5/24/2026
4,4,2024-06-19,"Only A Nurse Can Drug You Cut Your Clothes Off T-Shirt","Funny Only A Nurse Can Drug You Tee Shirt",B0H2D31KRX,2114658,LOW,37,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Only%20A%20Nurse%20Can%20Drug%20You%20Cut%20Your%20Clothes%20Off%20T-Shirt,5/24/2026
5,4,2026-05-22,"Dope Latina Woman Occupational Therapist Latin Heritage T-Shirt","Dope Occupational Therapist Career Culture",B0H2L3RJ3Y,N/A,LOW,53,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Dope%20Latina%20Woman%20Occupational%20Therapist%20Latin%20Heritage%20T-Shirt,5/24/2026
6,4,2026-05-21,"Retro Pediatric Occupational Therapy Ocean Animals Shark T-Shirt","Funny Shark OT therapy squad Mental Health OTA",B0H2HRZY9W,N/A,LOW,56,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Retro%20Pediatric%20Occupational%20Therapy%20Ocean%20Animals%20Shark%20T-Shirt,5/24/2026
7,4,2026-01-22,"Living The Scrub Life Tie Dye Hippie Medical Assistant T-Shirt","Funny Living The Scrub Life Nurse Hippie Tee Shirt",B0H2CN7YWC,2443754,LOW,66,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Living%20The%20Scrub%20Life%20Tie%20Dye%20Hippie%20Medical%20Assistant%20T-Shirt,5/24/2026
8,4,2026-05-21,"Occupational Therapy, Helping You Reach New Goals T-Shirt","Occupational Therapy Helping You Reach New Goals",B0H2HFJ9QV,N/A,LOW,82,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Occupational%20Therapy%2C%20Helping%20You%20Reach%20New%20Goals%20T-Shirt,5/24/2026
9,4,2026-05-21,"Women Occupational Therapy Frog Wizard OT Busy with My ADLs T-Shirt","Occupational Therapy Tee",B0H2HY1NLQ,N/A,LOW,88,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Women%20Occupational%20Therapy%20Frog%20Wizard%20OT%20Busy%20with%20My%20ADLs%20T-Shirt,5/24/2026
10,4,2026-05-21,"Pediatric COTA Goose on Scooter Occupational Therapy OT T-Shirt","Therapy Humor Tee",B0H2J36XMC,N/A,LOW,92,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Pediatric%20COTA%20Goose%20on%20Scooter%20Occupational%20Therapy%20OT%20T-Shirt,5/24/2026
