Rank,Score,Listed Date,Product Title,Brand,ASIN,BSR,Competition Level,Competition Count,Opportunity Rating,Competition URL,Analysis Date
1,7,2022-07-04,"Pickleball We're More Than just Friends We're Like a Really T-Shirt","Funny Pickleball Paddleball Players Apparel",B0B5SBP25D,435097,LOW,42,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Pickleball%20We're%20More%20Than%20just%20Friends%20We're%20Like%20a%20Really%20T-Shirt,5/24/2026
2,7,2019-09-12,"Suns Out Guns Out Palm Beach 1980s Fashion 80s Vintage Retro Tank Top","Sunsout .",B07XTTFSY2,482549,LOW,67,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Suns%20Out%20Guns%20Out%20Palm%20Beach%201980s%20Fashion%2080s%20Vintage%20Retro%20Tank%20Top,5/24/2026
3,7,2024-05-04,"Polo Player Horse Sport Ride Riding Equestrian Sport Fan T-Shirt","Polo Player Sport Silhouette Gift Apparel",B0D3B8WCJV,534311,LOW,83,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Polo%20Player%20Horse%20Sport%20Ride%20Riding%20Equestrian%20Sport%20Fan%20T-Shirt,5/24/2026
4,7,2025-08-30,"T-Shirt","Check Out My Six Pack Pickleball",B0FP66Y47M,300641,UNKNOWN,0,Good,,5/24/2026
5,6,2023-11-08,"Polo IL Vintage Athletic Sports JS01 T-Shirt","Jim Shorts - Polo Illinois T-shirts & Tees",B0CMXYM84V,645624,LOW,54,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Polo%20IL%20Vintage%20Athletic%20Sports%20JS01%20T-Shirt,5/24/2026
6,6,2022-05-20,"Mens BRIXTON the Man the Myth the Legend | Mythos Legend Name - Tank Top","for Someone Named BRIXTON",B0B1T7HN6M,670465,LOW,71,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Mens%20BRIXTON%20the%20Man%20the%20Myth%20the%20Legend%20%7C%20Mythos%20Legend%20Name%20-%20Tank%20Top,5/24/2026
7,6,2025-11-04,"Polo Horse Riding Sportsman Silhouette Design T-Shirt","Heritage Polo Wear",B0FZNMLRY7,718323,LOW,73,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Polo%20Horse%20Riding%20Sportsman%20Silhouette%20Design%20T-Shirt,5/24/2026
8,6,2024-04-22,"Milwaukee Wisconsin Varsity Script Vintage Sports Style Tank Top","CITY OF MILWAUKEE CLASSIC RETRO VARSITY SCRIPT TEE",B0D2D349X2,608498,LOW,82,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Milwaukee%20Wisconsin%20Varsity%20Script%20Vintage%20Sports%20Style%20Tank%20Top,5/24/2026
9,6,2024-06-26,"White Trash Party Attire Redneck Raccoon Stay Trashy USA Tank Top","White Trash Bash Trailer Hillbilly Redneck Costume",B0D841M22C,937302,LOW,88,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=White%20Trash%20Party%20Attire%20Redneck%20Raccoon%20Stay%20Trashy%20USA%20Tank%20Top,5/24/2026
10,6,2023-05-29,"Distressed Vintage Pickleball USA Flag Tank Top","Distressed Vintage Pickleball USA Flag Tees",B0C6L5X9HL,414323,LOW,104,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Distressed%20Vintage%20Pickleball%20USA%20Flag%20Tank%20Top,5/24/2026
11,6,2022-03-08,"Funny Pickleball Humor T-Shirt: Why I Lose - Black, Classic Fit, Crew Neck, Short Sleeve","Funny Pickleball Pun for Pickleball Player",B09V3K35MD,361476,LOW,109,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Pickleball%20Humor%20T-Shirt%3A%20Why%20I%20Lose%20-%20Black%2C%20Classic%20Fit%2C%20Crew%20Neck%2C%20Short%20Sleeve,5/24/2026
12,6,2024-04-03,"Got It Oops Yours Funny Pickleball Lovers (Front and Back) T-Shirt","Funny Matching Tee Idea Gifts",B0CZS27V1Y,539465,LOW,126,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Got%20It%20Oops%20Yours%20Funny%20Pickleball%20Lovers%20(Front%20and%20Back)%20T-Shirt,5/24/2026
13,6,2022-08-31,"Lazy Costume Pickle Jar T-Shirt","Lazy Costume Tees",B0BCKR2CHL,544381,LOW,195,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Lazy%20Costume%20Pickle%20Jar%20T-Shirt,5/24/2026
14,6,2026-05-07,"Pickleball Mahjong Repeat Flower Floral Paddle Funny Women T-Shirt","Funny Pickleball Gift Tee Z28 Co.",B0GZW69KG8,477500,LOW,252,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Pickleball%20Mahjong%20Repeat%20Flower%20Floral%20Paddle%20Funny%20Women%20T-Shirt,5/24/2026
15,6,2023-05-11,"Funny Law School Graduation Shirt. Sorry Can't Bar Exam Bye T-Shirt","Bar Exam Shirt Funny Law School Graduation",B0C4Z149CQ,301044,LOW,300,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Law%20School%20Graduation%20Shirt.%20Sorry%20Can't%20Bar%20Exam%20Bye%20T-Shirt,5/24/2026
16,6,2025-05-09,"Pickleball Art for Men Women Pickleball Player Pickle Ball T-Shirt","Funny Pickleball Gift Pickleball Accessories Stuff",B0F83RHRBV,156004,HIGH,972,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Pickleball%20Art%20for%20Men%20Women%20Pickleball%20Player%20Pickle%20Ball%20T-Shirt,5/24/2026
17,6,2025-11-19,"Funny Pickleball Player Logo T-Shirt","Courtwear Athletic",B0G31B683R,159594,HIGH,1000,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Pickleball%20Player%20Logo%20T-Shirt,5/24/2026
18,6,2021-05-26,"US Flag Pickleball Paddleball Lover T-Shirt","Funny Pickleball Shirts",B095XJXHC8,276947,HIGH,1000,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=US%20Flag%20Pickleball%20Paddleball%20Lover%20T-Shirt,5/24/2026
19,6,2018-11-04,"Funny Pickleball Shirt. Dink Player USA Vintage Retro T-Shirt","PICKLEBALL CLOTHING",B07K65NBGK,289349,HIGH,1000,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Pickleball%20Shirt.%20Dink%20Player%20USA%20Vintage%20Retro%20T-Shirt,5/24/2026
