Rank,Score,Listed Date,Product Title,Brand,ASIN,BSR,Competition Level,Competition Count,Opportunity Rating,Competition URL,Analysis Date
1,8,2021-07-16,"Sad Face Archery Happy Face T-Shirt","Bow Hunting",B099P3SNBT,281589,LOW,68,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Sad%20Face%20Archery%20Happy%20Face%20T-Shirt,5/30/2026
2,7,2023-12-10,"Quilting With My Peeps Bird T-Shirt","Funny Quilting With My Peeps Bird Tee Shirt",B0CPWBZNCP,364682,LOW,70,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Quilting%20With%20My%20Peeps%20Bird%20T-Shirt,5/30/2026
3,7,2024-10-14,"Funny Foodie Baker Baking Salted Butter T-Shirt","Funny Baker Baking Salted Butter",B0DK1JJ9S9,298273,LOW,233,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Funny%20Foodie%20Baker%20Baking%20Salted%20Butter%20T-Shirt,5/30/2026
4,6,2018-06-26,"Nine Squares of Different Emotions T-Shirt","Cuphead",B07CT9YXDY,723081,LOW,33,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Nine%20Squares%20of%20Different%20Emotions%20T-Shirt,5/30/2026
5,6,2022-11-15,"Wonder Twin Powers Activate Design Funny Twins Comic Saying T-Shirt","Wonder Twin Powers Activate Fraternal Twins",B0BMJ463D5,812306,LOW,56,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Wonder%20Twin%20Powers%20Activate%20Design%20Funny%20Twins%20Comic%20Saying%20T-Shirt,5/30/2026
6,6,2025-10-18,"Golden Doodle Goldendoodle Dog Kaiju Monster Japanese T-Shirt","Golden Doodle Goldendoodle Kaiju Monster Gifts",B0FWYMB1LR,782830,LOW,67,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Golden%20Doodle%20Goldendoodle%20Dog%20Kaiju%20Monster%20Japanese%20T-Shirt,5/30/2026
7,6,2025-02-28,"Luther Spurgeon Calvinist Reformers Reformation T-Shirt","Presto Jesus Christ Christian Bible Verse Teez",B0DYVL25QH,884009,LOW,76,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Luther%20Spurgeon%20Calvinist%20Reformers%20Reformation%20T-Shirt,5/30/2026
8,6,2019-10-16,"Martin Luther 95 This Meme Painting Reformation Day Gift T-Shirt","Reformation Funny Gifts",B07Z6L5JQX,767440,LOW,77,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Martin%20Luther%2095%20This%20Meme%20Painting%20Reformation%20Day%20Gift%20T-Shirt,5/30/2026
9,6,2019-11-25,"Fabricologist Quilting Crew I Never Quilt Alone I Have Cats T-Shirt","Embroidery Machine Squad",B081YXDL17,624210,LOW,89,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Fabricologist%20Quilting%20Crew%20I%20Never%20Quilt%20Alone%20I%20Have%20Cats%20T-Shirt,5/30/2026
10,6,2026-01-05,"I'll Be in My Office Sewing Retro Quilting Crafter Machine T-Shirt","I'll Be In My Office Sewing Quilting Machine",B0GF4CP7F2,718787,LOW,95,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=I'll%20Be%20in%20My%20Office%20Sewing%20Retro%20Quilting%20Crafter%20Machine%20T-Shirt,5/30/2026
