Rank,Score,Listed Date,Product Title,Brand,ASIN,BSR,Competition Level,Competition Count,Opportunity Rating,Competition URL,Analysis Date
1,6,2025-12-04,"Vintage Retro Don't Get Me Started Sourdough Merry Christmas T-Shirt","Don't Get Me Started Sourdough Women Men Kids",B0G522HWTJ,908683,LOW,39,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Vintage%20Retro%20Don't%20Get%20Me%20Started%20Sourdough%20Merry%20Christmas%20T-Shirt,6/2/2026
2,6,2026-01-16,"Women's Sourdough is My Love Language Baking Humor V-Neck T-Shirt","Funny Baker by HearthAndHandcraft",B0GH62M5LC,693116,LOW,69,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Women's%20Sourdough%20is%20My%20Love%20Language%20Baking%20Humor%20V-Neck%20T-Shirt,6/2/2026
3,6,2025-05-18,"Sourdough Bread Tarot Card Skeleton Homemaker Baking T-Shirt","Sourdough Dealer Tarot Card Skeleton Baking Lover",B0F92SW9PQ,438156,LOW,116,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Sourdough%20Bread%20Tarot%20Card%20Skeleton%20Homemaker%20Baking%20T-Shirt,6/2/2026
4,6,2025-02-05,"Things I Do in My Spare Time Sourdough Baker Bread Lover T-Shirt","Sourdough Baker Bread Lover Tees Gifts by T&T",B0DW4JDNGD,579138,LOW,299,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Things%20I%20Do%20in%20My%20Spare%20Time%20Sourdough%20Baker%20Bread%20Lover%20T-Shirt,6/2/2026
5,5,2018-04-18,"T-Shirt","Frankly my Dear, I don't Give a Damn T-Shirt",B07CH46X26,1753758,LOW,28,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Frankly%20my%20Dear%2C%20I%20don't%20Give%20a%20Damn%20T-Shirt%20t-shirt,6/2/2026
6,5,2021-09-18,"BDSM, Domina, Mistress, Domina, Submission Party T-Shirt","FemDom Bekleidung",B09GMN7NWS,1769500,LOW,30,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=BDSM%2C%20Domina%2C%20Mistress%2C%20Domina%2C%20Submission%20Party%20T-Shirt,6/2/2026
7,5,2025-06-13,"Vintage Coquette Bow Sourdough Bread Baking Baker Girl Mom T-Shirt","Bread Coquette Pink Bow Baking Sourdough",B0FD321RV1,1289917,LOW,31,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Vintage%20Coquette%20Bow%20Sourdough%20Bread%20Baking%20Baker%20Girl%20Mom%20T-Shirt,6/2/2026
8,5,2025-12-04,"Vintage Retro Don't Get Me Started Sourdough Merry Christmas T-Shirt","Don't Get Me Started Sourdough Women Men Kids",B0G522Z93R,1202668,LOW,39,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Vintage%20Retro%20Don't%20Get%20Me%20Started%20Sourdough%20Merry%20Christmas%20T-Shirt,6/2/2026
9,5,2025-09-16,"Vintage Salted Butter Social Club Butter Lover Sweet Cream T-Shirt","Salted Butter Social Club Retro Foodie Baking Tee",B0FRB2TGX4,1687770,LOW,44,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Vintage%20Salted%20Butter%20Social%20Club%20Butter%20Lover%20Sweet%20Cream%20T-Shirt,6/2/2026
10,5,2026-01-06,"Baking Lover Baker Life Cake Dealer Mom I'll Be in My Office T-Shirt","Baking Club Funny I'd Rather Be Baking",B0GF86ZS8X,1494440,LOW,45,Average,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Baking%20Lover%20Baker%20Life%20Cake%20Dealer%20Mom%20I'll%20Be%20in%20My%20Office%20T-Shirt,6/2/2026
