Rank,Score,Listed Date,Product Title,Brand,ASIN,BSR,Competition Level,Competition Count,Opportunity Rating,Competition URL,Analysis Date
1,8,2026-02-24,"Colorful T-Shirt","VBS Crew 2026 Illumination Bible School Vacation",B0GPX7R6XB,223626,LOW,19,Excellent,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Colorful%20T-Shirt,6/2/2026
2,7,2026-05-08,"Vintage Rainforest Falls VBS Vacation Bible School Teacher T-Shirt","Exploring The Nature Of God VBS Gifts",B0GZZJX3PG,292401,LOW,132,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Vintage%20Rainforest%20Falls%20VBS%20Vacation%20Bible%20School%20Teacher%20T-Shirt,6/2/2026
3,7,2025-03-04,"True North VBS 2026 Trusting Jesus Christian Camp T-Shirt","VBS Vacation Bible School Kids Youth Kids",B0DZ5892L5,282416,LOW,138,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=True%20North%20VBS%202026%20Trusting%20Jesus%20Christian%20Camp%20T-Shirt,6/2/2026
4,7,2026-02-06,"Rainforest Falls VBS 2026 Staff Vacation Bible School T-Shirt","Vacation Bible School Staff Gifts",B0GLXPXH91,275897,LOW,243,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Rainforest%20Falls%20VBS%202026%20Staff%20Vacation%20Bible%20School%20T-Shirt,6/2/2026
5,6,2019-07-20,"Vacation Bible School Lion Wild About VBS Roar For Jesus T-Shirt","Wild About VBS Roar For Jesus Shirts And Gifts",B07VBR9RH8,812122,LOW,91,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Vacation%20Bible%20School%20Lion%20Wild%20About%20VBS%20Roar%20For%20Jesus%20T-Shirt,6/2/2026
6,6,2026-05-11,"VBS 2026 Junk Yard Redemption Vacation Bible School Theme Performance T-Shirt","Christian VBS 2026 Camp Apparel",B0H1DP4QV4,443045,LOW,101,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=VBS%202026%20Junk%20Yard%20Redemption%20Vacation%20Bible%20School%20Theme%20Performance%20T-Shirt,6/2/2026
7,6,2026-02-28,"Rainforest Falls VBS 2026 Frog Vacation Bible School T-Shirt","Christian Jungle VBS 2026 Apparel",B0GQMBZTZT,460323,LOW,144,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Rainforest%20Falls%20VBS%202026%20Frog%20Vacation%20Bible%20School%20T-Shirt,6/2/2026
8,6,2022-04-07,"I Love VBS 2026 Crew Vacation Bible School Paint Splatter T-Shirt","I Love Vacation Bible School 2026 Apparel Shop",B09XC5SBLR,512432,LOW,178,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=I%20Love%20VBS%202026%20Crew%20Vacation%20Bible%20School%20Paint%20Splatter%20T-Shirt,6/2/2026
9,6,2024-07-19,"I Love VBS 2026 Vacation Bible School VBS Y'all Southern T-Shirt","Scuba VBS 2026 Tees",B0D9QBJL31,386796,LOW,188,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=I%20Love%20VBS%202026%20Vacation%20Bible%20School%20VBS%20Y'all%20Southern%20T-Shirt,6/2/2026
10,6,2023-06-25,"I Love VBS I Heart Vacation Bible School Crew Bible Study T-Shirt","VBS Matching Shirts Religious Bible Study Gifts",B0C99G74LR,323030,LOW,211,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=I%20Love%20VBS%20I%20Heart%20Vacation%20Bible%20School%20Crew%20Bible%20Study%20T-Shirt,6/2/2026
11,6,2026-02-06,"Rainforest Falls VBS 2026 Staff Vacation Bible School T-Shirt","Vacation Bible School Staff Gifts",B0GLXPMTZ6,376217,LOW,243,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=Rainforest%20Falls%20VBS%202026%20Staff%20Vacation%20Bible%20School%20T-Shirt,6/2/2026
12,6,2026-02-11,"VBS Crew Vacation Bible School Lighted Squad T-Shirt","N/A",B0GMY3YDW2,414187,LOW,270,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=VBS%20Crew%20Vacation%20Bible%20School%20Lighted%20Squad%20T-Shirt,6/2/2026
13,6,2022-06-08,"2022 Vacation Bible School Shirts Colorful VBS Staff T-Shirt","2022 VBS Shirts Kids & Adults Colorful Handprints",B0B3HM3TXL,328931,LOW,273,Good,https://www.amazon.com/s?i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=relevancerank&hidden-keywords=2022%20Vacation%20Bible%20School%20Shirts%20Colorful%20VBS%20Staff%20T-Shirt,6/2/2026
